pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop_x,Left_cop_y,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop_x,Right_cop_y,Left_GRF_ML,Left_GRF_V,Left_GRF_AP,Right_GRF_ML,Right_GRF_V,Right_GRF_AP,Left_GRM_y,Left_GRM_x,Left_GRM_z,Right_GRM_y,Right_GRM_x,Right_GRM_z,time
-1.866617904,-0.03949357,188.0988988,0,1.055221849,0,21.56057068,3.866744521,2.910153427,-40.97205721,3.690692994,-5.750615805,10.01879329,-2.172256126,-3.301565306,2.280705649,-0.104035872,-24.84460259,-2.176177083,1.360664077,10.55007275,1.132803652,0.001119675,7.591681612,5.590036035,3.361655807,19.3256722,15.19684719,15.39452728,17.40401315,33.78920967,14.07794768,36.12031766,28.3337994,30.47061135,83.35939523,28.34792962,29.97667889,1021.916748,0.194533468,-0.043651204,-0.00606813,-0.005468396,-0.003423105,-0.002918528,-0.002025411,-0.0016738,-0.00021609,-0.000137615,0.626573569,0.541465449,-0.029464617,-6.08e-05,0.000596433,1.101670803,-0.000185552,1.54e-05,6.178354122,2.49e-05,2.58e-06,56.39094473,227.4329369,7.609986972,10.12662749,-7.241170339,-7.615486976,10.46057589,-4.863088348,-68.1736834,2.465396177,3.028971241,-0.209923091,1
-2.114367447,-0.001278612,187.826506,0,1.058261213,0,21.36593511,3.981048321,2.651525139,-36.42105834,2.766093085,-5.30854993,9.777169806,-1.804866151,-3.86703834,2.255684348,0.092884792,-24.78640559,-2.000250889,0.690544482,8.744918042,1.519045428,-0.547164394,5.748445511,3.20056398,1.433603684,13.88763902,11.05960973,12.35964009,13.06710696,32.69870061,13.47681101,35.88453668,26.88897684,27.03055519,88.01077742,28.69315751,30.16894762,937.0088162,0.223103621,-0.033498444,-0.007213492,-0.006413558,-0.004340046,-0.003614835,-0.003867662,-0.003003682,-0.00055066,-0.000466058,0.435229107,0.310346483,-0.015739425,-4.93e-06,0.000386265,1.020749398,-0.000168657,-4.25e-05,4.548316275,3.15e-05,4.55e-06,54.03733991,189.5070417,5.686644665,10.76757501,-10.46191469,-7.500164372,8.519486649,-5.784976936,-58.10586481,2.425203923,3.083591981,1.34291751,2
-2.307587472,0.099654925,187.6024701,0,1.061026033,0,21.01717529,4.069278144,2.17895876,-31.91836978,1.701141803,-4.532507807,9.545113549,-1.279506582,-4.351538642,2.270886045,0.299011773,-25.06369087,-1.763653139,0.025405226,7.00149907,1.891480245,-0.537926742,4.058013547,1.491381999,0.272966138,8.999370264,7.862803392,9.20981803,9.17079047,30.95620343,12.42602269,35.08458753,24.88622978,23.27908902,91.80201089,28.96333358,29.86483583,853.7645338,0.249965178,-0.023313611,-0.002929386,-0.002394031,-0.002417794,-0.001819877,-0.00510314,-0.003673171,-0.000919712,-0.000921114,0.294502099,0.233374997,-0.005189681,2.81e-05,0.000277529,1.016384969,-0.000229765,-0.000146844,3.796205623,-9.51e-06,1.53e-06,49.00239726,156.2165465,3.849270801,8.616283599,-14.70465409,-7.21025711,7.042245094,-6.330134835,-47.59822208,2.431827169,2.386477006,2.964447712,3
-2.435304217,0.246643143,187.3899781,0,1.063129911,0,20.54620723,4.138551075,1.590760054,-27.59312851,0.626761172,-3.557130658,9.317933762,-0.695670332,-4.739225035,2.319539647,0.53327888,-25.70723245,-1.477020446,-0.610218853,5.337826395,2.259110231,-0.338232223,2.502816449,0.424233985,-0.228166273,5.099651942,5.565741156,6.388385786,6.081025462,28.59151214,11.11092068,33.69277867,22.4447029,19.38426506,94.49734002,29.12308335,29.1429683,775.9617733,0.273790329,-0.013487841,0.012470743,0.011682637,0.00565138,0.005254985,-0.003295312,-0.001739791,-0.001003621,-0.001262282,0.239446894,0.300375984,0.000385611,2.86e-05,0.00027344,1.093890215,-0.00028444,-0.00027535,4.103599155,-0.000128037,-1.03e-05,41.18340107,127.0429023,2.393649449,2.579347408,-16.19083079,-6.645968459,5.924327622,-6.295365045,-37.44083763,2.207423755,0.972614698,4.521317083,4
-2.483000391,0.421167301,187.2051366,0,1.064427412,0,19.99515957,4.196337153,1.00510763,-23.62641117,-0.335637384,-2.575057859,9.092009415,-0.18359755,-5.009762577,2.395837254,0.817952535,-26.76942676,-1.154646893,-1.185038781,3.783018254,2.637518831,-0.145262782,1.212762519,-0.094151613,-0.319052749,2.401650798,3.983890389,4.213256569,3.993082454,25.82591495,9.713217674,31.69593495,19.66052468,15.61052368,95.94251513,29.11233056,28.07545695,706.2788984,0.293454302,-0.004109153,0.043664735,0.039897907,0.022923594,0.02008369,0.005366726,0.005649068,-0.000184538,-0.000917439,0.220969474,0.405312959,0.002133413,-1.79e-05,0.000250633,1.236581692,-0.00016131,-0.000344566,5.004670997,-0.000335634,-3.37e-05,31.12605246,100.9390095,1.487771144,-7.777220593,-5.582900821,-5.502560999,4.960599468,-5.59779003,-28.30662079,0.797458332,-1.084767866,5.948709066,5
-2.437706501,0.60861652,187.1107481,0,1.065065139,0,19.40289075,4.248868886,0.51947539,-20.18386387,-1.114464441,-1.766456286,8.866978229,0.141833758,-5.146399237,2.496499552,1.172300541,-28.31020944,-0.806417678,-1.671364902,2.363416944,3.046610721,-0.025115359,0.346297489,-0.239986566,-0.234113751,0.801147708,2.851368319,2.78441937,2.806056701,23.0035004,8.373807512,29.12718585,16.61529001,12.27547815,96.12411785,28.85248379,26.77404686,645.1540144,0.308690858,0.005037549,0.087514448,0.079137292,0.048520477,0.041635862,0.024643306,0.020966902,0.002367257,0.001038306,0.1787461,0.428863536,0.001787103,-0.000127486,-1.56e-05,1.400824325,0.000386034,-0.0001768,5.834093282,-0.000577579,-6.51e-05,19.95270383,76.96650983,1.241152695,-20.88810455,32.51223098,-3.558749626,3.883494171,-4.269394523,-20.69285571,-3.472936089,-3.456483029,7.316511754,6
-2.294977732,0.798283953,187.0121648,0,1.064441663,0,18.78363212,4.297614942,0.181444868,-17.34023479,-1.698757204,-1.228634313,8.639012163,0.22166705,-5.141164171,2.615751205,1.601858889,-30.32386564,-0.433954734,-2.054557039,1.088191588,3.498650337,0.025829368,-0.081430901,-0.203030935,-0.119071105,0.016053622,1.990769156,2.027821585,2.189749256,20.45354826,7.2153312,26.08228103,13.51663027,9.639658767,95.17136793,28.2648428,25.39688038,591.8592582,0.320019818,0.014161351,0.121697375,0.108860496,0.071169589,0.059884078,0.054198673,0.042998057,0.007219845,0.005572816,0.1097218,0.338033799,0.000663173,-0.000297527,-0.000799426,1.536801966,0.001584508,0.000492394,6.193523226,-0.000663768,-8.67e-05,9.122873938,54.97616846,1.672792539,-32.51372192,118.4383474,-1.016544173,2.582471237,-2.484257227,-14.72640535,-12.93627544,-5.445131622,9.049113148,7
-2.061816268,0.975256319,186.9962337,0,1.063098097,0,18.1768499,4.354120886,-0.007885579,-15.19022184,-2.110231446,-0.950383348,8.428568822,0.045447491,-4.993526793,2.741460211,2.100037304,-32.80972348,-0.027367844,-2.333318857,-0.036811257,3.994909314,0.034106662,-0.200393842,-0.116023743,-0.035582894,-0.253138919,1.345410465,1.756737176,1.79327128,18.36924905,6.322112362,22.71262325,10.72599901,7.820763675,93.29679481,27.32305515,24.06534328,545.547643,0.328305615,0.023116424,0.092162634,0.079984636,0.061544634,0.049457333,0.082268135,0.061192856,0.013591425,0.01276072,0.047058072,0.195976491,-0.000458471,-0.000464762,-0.002269735,1.603403004,0.003387954,0.001899098,5.750654063,-0.000212338,-5.74e-05,0.066664769,35.6438316,2.650220918,-37.73218011,268.7895929,1.197005614,1.138068984,-0.609541225,-10.31451798,-29.64611431,-6.354651947,11.6783746,8
-1.755318878,1.113968237,186.9886847,0,1.060793938,0,17.62718945,4.4349804,-0.070673005,-13.81813307,-2.372591199,-0.837565314,8.261577069,-0.367185067,-4.707159453,2.846367769,2.648373574,-35.70025846,0.430542098,-2.518763862,-1.018491318,4.518677738,0.024526605,-0.168557365,-0.043395567,0.006440061,-0.25426643,0.880260004,1.754404226,1.398328416,16.76194656,5.702508644,19.22691837,8.548959554,6.736115406,90.68382441,26.07667589,22.76891561,504.9667185,0.334463684,0.031599462,-0.089615677,-0.08710423,-0.030799108,-0.032493619,0.076573679,0.049237455,0.017638171,0.020028996,0.011503618,0.077600571,-0.00105285,-0.000452317,-0.004156912,1.563501523,0.005026093,0.003948935,3.725739139,0.001310137,8.72e-05,-5.783979837,19.7425767,4.055787057,-33.82056727,476.0999586,1.403566814,-0.309571864,0.864328953,-7.317922038,-53.00879082,-5.85181653,15.00165468,9
-1.395490699,1.182951094,186.9598568,0,1.05755684,0,17.19821285,4.562813473,-0.029685181,-13.35291703,-2.49388604,-0.767524645,8.169796874,-0.994328649,-4.285895003,2.896636477,3.227923669,-38.93023319,0.960557686,-2.624544893,-1.862148136,5.045675547,0.012237372,-0.095921728,-0.002294616,0.018697695,-0.161785171,0.534849504,1.8532253,0.948315305,15.50348722,5.302786141,15.87158849,7.05673051,6.150866205,87.42928191,24.64736348,21.34202483,468.3675627,0.339217112,0.039407858,-0.518319043,-0.476194463,-0.264052326,-0.234073491,-0.020254276,-0.03687941,0.010746697,0.019892351,0.002945767,0.011643973,-0.000520219,6.06e-05,-0.005240363,1.406295789,0.004460255,0.005695358,-1.005237083,0.004313063,0.000411619,-7.456594476,7.301935205,5.627269394,-30.02668724,691.9071445,-1.478992974,-1.676226083,1.519104341,-5.48596011,-77.49319761,-5.198655276,17.21059382,10
