pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop_x,Left_cop_y,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop_x,Right_cop_y,Left_GRF_ML,Left_GRF_V,Left_GRF_AP,Right_GRF_ML,Right_GRF_V,Right_GRF_AP,Left_GRM_y,Left_GRM_x,Left_GRM_z,Right_GRM_y,Right_GRM_x,Right_GRM_z,time
-5.013233045,1.239817293,188.939069,0,1.059296229,0,21.07476204,1.688256927,2.916399859,-10.60168311,3.30623444,-8.968820439,17.75061861,-0.582471264,-8.455291607,2.187056652,-6.457528645,-27.16989596,0.20893851,2.622140147,-11.32908852,8.172397187,-4.59e-05,-0.011287165,-0.001096932,-0.000570857,-0.001980939,-0.002093216,-0.011077732,0.006419341,11.95559818,8.191886089,5.537700729,7.600815305,11.02905744,51.63777225,27.38927234,6.933524689,338.2985928,0.336415868,0.012471797,0.037438689,0.069633144,0.046612773,0.102095856,0.012534444,0.043310655,-0.001507324,0.004417782,-0.010548722,-0.016076338,0.20584076,-0.023953572,0.052285754,-0.002969719,-0.001786125,-0.000449953,1.46488509,0.001778017,-4.28e-05,-17.29373328,57.7981282,19.80236246,26.51393049,544.2320676,27.79352479,-2.656132618,1.598390449,0.862137558,-8.753704364,-2.082083937,53.86239291,1
-5.15261987,1.323979522,188.8005926,0,1.056170579,0,20.6848477,2.0992691,2.389343597,-8.951787013,2.94153746,-7.369056712,18.26630153,-0.924331818,-7.838696412,1.978979886,-6.119557694,-30.03467895,0.384728683,2.475856656,-12.5911192,8.608805453,8.43e-05,-0.025137624,-0.000477403,-0.00017468,-0.001362608,-0.001403211,-0.002287926,0.0004519,10.46197811,7.05528035,5.083567546,6.630592586,9.410522814,47.42567263,24.99446506,3.763305017,300.4325226,0.339084739,0.018481163,-0.36932936,-0.375090062,-0.003585048,0.067496658,0.033506256,0.069265185,0.001763865,0.014301296,0.01118996,-0.005654728,0.146929442,-0.021939248,0.128846727,0.002975388,-0.001598434,-0.000735673,-0.775904656,0.005702261,0.000171926,-23.01968238,70.9763074,22.41522342,15.51996048,759.63826,29.36747853,-2.919742167,0.860998629,2.685736225,-14.52662984,-3.958303093,67.99171811,2
-5.148275333,1.431079842,188.6932905,0,1.052295393,0,20.2672086,2.460109494,1.602121443,-8.293685501,2.619818418,-5.368992047,18.63306274,-1.61050459,-7.200806449,1.819539085,-5.417611178,-33.22865428,0.756166932,1.972161731,-13.80529668,9.220710982,9.87e-05,-0.039182031,-8.76e-05,2.69e-05,-0.00064993,-0.000650783,0.001603672,-0.001787834,9.090553685,6.218508809,4.596050702,5.640361637,7.792335045,43.22535163,22.77871351,1.462626746,265.5225571,0.343866301,0.026065976,-1.151308118,-1.260188104,-0.144204011,-0.102934456,0.058626186,0.071148478,0.00931975,0.027704495,0.06420411,0.002781858,0.207885743,0.006909857,0.215873469,0.017930096,0.000620672,-0.000784601,-5.319966768,0.01099883,0.00060879,-24.55707291,69.20153173,19.70198026,-10.11619254,919.8478151,15.46366917,-2.755686061,0.164318746,4.730044056,-20.69858496,-4.825363858,75.60156006,3
-5.045343843,1.534095038,188.5749391,0,1.047671818,0,19.89778198,2.787916879,0.703462999,-8.546106843,2.32857992,-3.215037078,18.78847403,-2.496437108,-6.515100434,1.699744062,-4.532440268,-36.65821086,1.22219182,1.266227637,-14.85267452,9.945500591,6.77e-05,-0.03890274,7.99e-05,8.71e-05,-0.000164763,-0.000151484,0.00237089,-0.001913488,7.778125392,5.501805495,3.996332043,4.561518596,6.087755135,39.09259996,20.53479135,0.152147562,231.963258,0.35179205,0.036388377,-2.190964116,-2.482059026,-0.397168686,-0.485006751,0.069286302,0.001816378,0.021261563,0.037149973,0.151071519,0.011308133,0.403993537,0.082633422,0.274239776,0.042783163,0.006351541,-0.000101034,-12.04456731,0.014678063,0.001225756,-20.64308592,57.01086709,14.46878387,-46.84131961,1029.239428,-10.26506957,-2.104341282,-0.319108904,6.739454875,-27.81436784,-4.805879972,78.03943428,4
-4.899857301,1.599945973,188.4547823,0,1.042626632,0,19.67913983,3.10146974,-0.123997286,-9.637078696,2.058761717,-1.199931727,18.65749474,-3.404443831,-5.752188174,1.607061942,-3.682152914,-40.2220863,1.633221074,0.521738653,-15.58450383,10.71249055,3.22e-05,0.002505449,0.000108948,7.63e-05,6.41e-05,7.74e-05,0.001771635,-0.001258253,6.463392562,4.75442461,3.278204293,3.4325029,4.314305211,34.94379291,18.08183742,-0.359034059,198.3370719,0.362231386,0.049936233,-2.879515009,-3.388893687,-0.707510183,-1.074420957,0.027155644,-0.199513838,0.033272602,0.025288264,0.245235195,0.020914077,0.66881396,0.213625606,0.296496629,0.069643557,0.016162537,0.001971271,-18.07109699,0.009839886,0.001712565,-14.96352468,43.37578266,10.06419797,-85.55268608,1119.295933,-39.07128956,-1.035585206,-0.20511019,8.105625533,-36.32320549,-4.217331887,78.39677531,5
-4.755547789,1.601332655,188.3902832,0,1.037693081,0,19.6994439,3.415785789,-0.73162857,-11.52459795,1.808859792,0.436410583,18.18289167,-4.187416989,-4.891779474,1.528236532,-3.045452962,-43.8535664,1.847037035,-0.150001611,-15.87754491,11.46983279,8.07e-06,0.118884953,7.93e-05,4.46e-05,0.000120251,0.000128742,0.000916188,-0.000570861,5.166642464,3.910760386,2.463584467,2.353722685,2.624942192,30.62287831,15.30172295,-0.405613582,164.1327923,0.371389152,0.065731997,-1.834775963,-2.436853875,-0.856839423,-1.64097615,-0.122555884,-0.568995166,0.032863879,-0.035397934,0.290745392,0.028043082,0.887614,0.36596597,0.329511017,0.073817305,0.027401792,0.00586087,-15.27790278,-0.014414144,0.001313559,-11.84304849,33.32219987,7.890046959,-116.6805157,1217.248484,-61.0589133,0.012024582,0.543081961,8.173803797,-46.16562016,-3.655774063,78.50273409,6
-4.621694785,1.52764708,188.2871374,0,1.032473308,0,19.96301761,3.735082123,-1.060770249,-14.13091786,1.577472509,1.587041195,17.35891407,-4.769972512,-3.933766848,1.451033068,-2.704767458,-47.48172174,1.78610441,-0.708027376,-15.67256475,12.17925932,-3.28e-06,0.328731832,4e-05,1.73e-05,9.59e-05,9.96e-05,0.000284133,-0.000123365,3.902770532,3.009924597,1.606064497,1.409870237,1.243737703,26.14831583,12.24359693,-0.273653415,130.2278455,0.371512902,0.08011484,3.097865043,2.861700756,-0.386158162,-1.546554612,-0.424417432,-1.033954814,-0.002838755,-0.172762086,0.246813413,0.02158814,0.961661332,0.443644376,0.40482181,0.008238058,0.030941115,0.010891164,11.06334219,-0.069033108,-0.001214149,-12.4691466,27.0358181,7.591208443,-134.6720441,1329.571938,-71.57187447,0.533104655,1.761515053,6.592828364,-56.58014786,-3.41890592,77.59355692,7
-4.455063476,1.392907545,188.247741,0,1.02755382,0,20.37336374,4.059237157,-1.168669515,-17.3247139,1.35230179,2.285544774,16.3259067,-5.171234585,-2.921504777,1.36575265,-2.659993345,-51.09544467,1.453310991,-1.149404978,-14.98282185,12.80567398,-6.08e-06,0.586986956,1.17e-05,1.46e-06,5.24e-05,5.3e-05,-3.94e-05,7.73e-05,2.664383744,2.160227844,0.829409928,0.667914014,0.33565853,21.8326842,9.253926762,-0.127820894,99.19006683,0.351818899,0.086876022,14.07669438,15.13154018,1.378173087,0.349853458,-0.8467747,-1.285051777,-0.102548858,-0.38636155,0.118146896,-0.017712747,0.839141097,0.34206058,0.47696607,-0.189103844,0.00861444,0.013917615,79.22728972,-0.154494807,-0.007239406,-15.11927944,21.97323313,8.337890103,-137.6910517,1445.603541,-72.61344622,0.17825351,3.025152141,3.543200034,-66.55277342,-3.45621533,73.33100425,8
-4.16022487,1.229440036,188.2266415,0,1.022691551,0,20.70276502,4.38212152,-1.199232907,-20.82572947,1.1000064,2.659326177,15.34383796,-5.470702907,-1.93883399,1.259162085,-2.862009934,-54.63429181,0.908117414,-1.464600796,-13.86447477,13.27946976,-4.89e-06,0.761122094,-2.44e-06,-4.62e-06,1.81e-05,1.75e-05,-0.000137484,0.000118803,1.532473129,1.472349408,0.273120893,0.182676327,-0.102651674,18.02107247,6.804411621,-0.030432164,73.90109337,0.302563262,0.080747288,31.6090506,35.15128527,5.086912997,5.44098561,-1.171985893,-0.657205174,-0.28160938,-0.594829803,-0.079061492,-0.111103678,0.518667844,0.051010313,0.480050876,-0.558097787,-0.06465481,0.008000745,201.3112272,-0.251324011,-0.017455209,-16.90941597,15.86674189,9.570372384,-128.8776486,1547.320896,-68.49430425,-0.981333888,3.784646645,-0.241488255,-75.22318588,-3.942373458,63.61059173,9
-3.615732948,1.076691121,188.2292607,0,1.017925663,0,20.67669302,4.697613728,-1.326974602,-24.30443201,0.771202886,2.854290448,14.73775025,-5.776446692,-1.09534311,1.116620785,-3.258145621,-58.03442894,0.223140674,-1.622427484,-12.38422625,13.51235016,-2.72e-06,0.729349902,-6.49e-06,-5.07e-06,-4.33e-07,-1.29e-06,-0.00012137,8.98e-05,0.660414681,0.992414993,-0.020041582,-0.052748307,-0.217542456,14.78622869,5.121696392,0.014542168,55.31109355,0.223605185,0.06194468,52.99428294,59.7097232,10.90739757,14.43230679,-0.876103967,1.83915229,-0.500785616,-0.569520859,-0.338820655,-0.262653221,0.068586436,-0.309171411,0.451818668,-1.033130422,-0.207474496,-0.017423757,370.5922703,-0.328934022,-0.031218564,-15.62775158,8.202640518,10.63790017,-113.838224,1618.015112,-63.26314151,-2.535278617,3.741006859,-3.477526612,-81.86311488,-4.837933556,47.87707582,10
