"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,",,,,,,,,,,,,,,,,,,,,,
34.82,0,,4.99478,4.32568,-2.23242,-3.09057,-0.0690274,-5.61218,9.06391,9.01524,9.07323,13.8982,-0.414504,-12.157,5.69552,1.52,-0.54885,-0.54885,1.51504,-1.51504,-7.85437,7.85437,-5.41508,-9.69798,0.646154,4.02639,-2.45655,4.89528,158.204,0.336886,1.57598,158.408,5.33099,-0.643406,158.384,-3.7312,1.00093,152.821,5.41367,0.880724,152.704,5.09486,4.19357,151.705,-3.84615,8.5964,155.319,9.66239,-3.19166,7.81199,-29.3075,-43.9405,-209.002,439.486,221.673,162.636,774.412,144.023,257.887,5.29067,781.197,30.2723,122.063,91.7893,-23.9366,-9.81973,107.89,-2.42935,102.404,-92.8892,-0.38698,-0.587977,-0.405535,0.736617,0.0277727,0.673991,-0.69241,0.0352186,-0.718717,0.10975,0.0384552,0.880686,0.268568,-0.704135,0.318314,0.241833,-0.752051,0.102056,-0.0327768,-0.0736716,0.75466
34.83,0,,5.90039,4.39886,-2.07867,-3.01296,0.415492,-5.73006,10.9674,9.0547,10.1781,14.6113,-0.334361,-12.1534,5.24711,1.56736,-0.451994,-0.451994,1.57474,-1.57474,-7.97907,7.97907,-5.43955,-10.3237,0.919948,3.89189,-2.59884,5.08425,158.132,0.228972,1.6222,157.882,6.12315,-0.492048,157.802,-4.8398,1.32581,152.771,5.4349,1.1657,152.529,5.06519,4.15579,151.513,-3.90964,8.77183,155.325,10.2831,-2.96655,-1.96666,-25.8672,-20.9944,-270.993,504.848,269.532,204.077,798.351,248.988,330.427,39.68,863.882,20.0321,96.2404,87.389,-20.0572,0,84.4644,-80.4385,37.0328,-330.466,-0.386015,-0.587812,-0.405792,0.733601,0.034791,0.676837,-0.69272,0.0391253,-0.717379,0.108161,0.0366234,0.881282,0.268324,-0.704259,0.317582,0.24367,-0.752435,0.102363,-0.0384548,-0.0731862,0.754996
34.84,0,,7.04837,4.51117,-1.87954,-2.95528,0.955763,-5.75134,13.3148,9.08677,11.8073,15.3012,-0.68251,-12.1678,4.58415,1.6101,-0.316056,-0.316056,1.60471,-1.60471,-8.09586,8.09586,-5.74945,-10.9336,1.67014,3.79101,-2.90758,5.35547,157.989,0.0868156,1.63319,157.229,7.12805,-0.352991,157.067,-6.18054,1.73642,152.815,5.74274,1.96199,152.359,5.0334,4.11012,151.331,-3.97136,8.94921,155.347,10.8854,-2.75753,-47.3636,-4.38152,24.8977,-311.54,542.999,321.297,226.039,673.317,333.02,286.732,-166.392,424.931,28.7774,74.6881,87.389,-10.235,14.6464,99.096,-163.576,25.4399,-256.386,-0.384719,-0.587607,-0.405593,0.7299,0.0428491,0.680154,-0.69298,0.0437042,-0.715626,0.101997,0.0325951,0.882205,0.267596,-0.704576,0.316366,0.245381,-0.752868,0.102608,-0.0439478,-0.0726359,0.75523
34.85,0,,8.4551,4.65502,-1.65659,-2.92431,1.42966,-5.67603,16.0796,9.0991,13.9974,15.7994,-0.836764,-12.0728,4.07365,1.65861,-0.142735,-0.142735,1.60118,-1.60118,-8.21066,8.21066,-6.43449,-11.3621,2.21226,3.59577,-3.14384,5.70005,157.775,-0.0871614,1.60496,156.57,8.36107,-0.244954,156.299,-7.70465,2.19126,152.733,6.4221,2.56829,152.227,4.99208,4.06106,151.188,-4.02074,9.12174,155.385,11.3038,-2.45203,-94.2356,32.7154,46.8679,-219.724,553.191,344.25,284.633,432.592,291.522,-7.42533,-58.1974,91.6729,28.3289,43.0052,68.8592,-22.9461,22.9682,97.1747,-103.112,67.303,-158.288,-0.383197,-0.587308,-0.404988,0.725556,0.05176,0.683806,-0.693308,0.0493781,-0.713327,0.0941228,0.0318626,0.883423,0.266615,-0.704992,0.314835,0.246787,-0.753363,0.102731,-0.0483425,-0.0734904,0.755352
34.86,0,,10.0813,4.81907,-1.40186,-2.93365,1.75754,-5.58435,19.1194,9.06704,16.2411,16.1315,-0.51533,-11.9309,3.85358,1.74754,0.0550549,0.0550549,1.54879,-1.54879,-8.32349,8.32349,-7.09506,-11.6644,2.27797,3.33978,-3.23781,6.07798,157.539,-0.278778,1.52451,156.027,9.79984,-0.158311,155.613,-9.29773,2.65647,152.481,7.0882,2.68204,152.079,4.95181,4.00016,151.035,-4.02603,9.30299,155.424,11.5981,-2.08757,-137.693,79.5814,45.4042,22.9685,475.58,310.065,345.231,156.271,122.053,-321.288,260.301,263.155,12.7069,25.9223,58.0989,-30.2922,39.6118,99.096,-53.7156,140.08,-233.815,-0.381741,-0.586833,-0.40402,0.720573,0.0607345,0.687734,-0.693633,0.0560327,-0.710663,0.0887529,0.03461,0.88466,0.265635,-0.705349,0.313305,0.248063,-0.753957,0.103217,-0.0519437,-0.0752604,0.755411
34.87,0,,11.9154,5.04999,-1.0972,-2.97733,1.92347,-5.48121,22.287,9.04237,17.8364,16.4701,-0.330914,-11.8648,3.67353,1.83648,0.301443,0.301443,1.44829,-1.44829,-8.43434,8.43434,-7.15215,-11.9877,2.4751,3.15321,-3.40426,6.46702,157.292,-0.510517,1.38835,155.621,11.4052,-0.0684589,155.048,-10.8504,3.05532,152.289,7.14127,2.90017,151.93,4.9338,3.9167,150.875,-4.01545,9.49684,155.473,11.9107,-1.78208,-150.886,114.731,62.9833,382.789,366.737,184.069,434.044,-83.4749,6.80539,-231.042,185.173,782.275,-0.523226,23.4393,19.5267,-7.8413,48.2665,61.9997,-68.2917,194.18,-92.3105,-0.380399,-0.585981,-0.402862,0.71488,0.0690343,0.691991,-0.694183,0.063052,-0.707611,0.0872273,0.0335114,0.885702,0.264789,-0.705434,0.312217,0.249287,-0.754636,0.103768,-0.0554836,-0.0764807,0.755407
34.88,0,,13.8331,5.31624,-0.710289,-3.08336,2.04162,-5.39117,25.4475,9.01031,19.2091,16.7133,-0.755759,-11.7228,3.58385,1.94159,0.601186,0.601186,1.28684,-1.28684,-8.54123,8.54123,-7.02982,-12.2191,3.20887,2.90264,-3.47407,6.83606,157.078,-0.785491,1.18323,155.27,13.0539,0.0310204,154.521,-12.3527,3.36984,152.031,7.0192,3.63665,151.788,4.91048,3.82592,150.738,-4.0031,9.6684,155.528,12.1314,-1.42566,-124.5,79.0946,68.8525,744.133,278.84,-65.928,560.529,-182.168,-94.2398,-134.227,-267.179,850.221,3.43834,-15.0965,-18.5641,39.5367,50.763,8.27648,-83.1378,79.2179,19.0987,-0.379416,-0.584567,-0.401634,0.708705,0.0761136,0.696436,-0.695094,0.0698268,-0.704067,0.0843571,0.0279563,0.887642,0.264178,-0.705369,0.3113,0.250379,-0.755226,0.104314,-0.0584746,-0.078434,0.755347
34.89,0,,15.7442,5.60899,-0.212746,-3.22162,2.20622,-5.31913,28.4969,8.96591,20.9398,16.8639,-1.58908,-11.4583,3.91567,2.05824,0.957343,0.957343,1.08005,-1.08005,-8.64218,8.64218,-7.33972,-12.3426,4.24929,2.51975,-3.0284,7.17397,156.886,-1.10889,0.9239,154.864,14.6508,0.165264,153.934,-13.7944,3.62491,151.297,7.33234,4.64169,151.651,4.86492,3.71314,150.601,-4.00134,9.83705,155.583,12.2464,-0.954014,-77.6283,7.33499,63.9591,732.414,92.292,-174.791,635.235,-155.292,-145.502,-125.945,-581.18,810.676,24.4421,-107.463,-61.021,51.2574,45.4371,-96.214,-67.7519,-98.2173,44.853,-0.37869,-0.582623,-0.40042,0.702111,0.082034,0.701134,-0.696264,0.0756875,-0.70011,0.0769702,0.0230117,0.89178,0.263756,-0.705141,0.31033,0.251485,-0.755797,0.104745,-0.0610375,-0.0816682,0.755278
34.9,0,,17.6062,5.88787,0.384078,-3.38364,2.49162,-5.22909,31.4571,8.89191,22.979,16.9103,-1.40638,-11.2418,4.51792,2.16451,1.33627,1.33627,0.838499,-0.838499,-8.74115,8.74115,-8.00029,-12.3637,4.23833,2.19976,-2.16122,7.4941,156.704,-1.44819,0.625843,154.31,16.1861,0.312878,153.177,-15.2091,3.85993,150.146,7.99313,4.54318,151.535,4.78544,3.58965,150.491,-4.0031,9.98341,155.632,12.2556,-0.562761,0,-47.8397,25.3856,499.507,-39.0862,-44.4404,526.864,-45.9201,-147.425,-584.887,20.8981,-438.951,25.8623,-198.241,-149.888,39.5367,32.2886,-198.266,-50.7464,-162.944,186.068,-0.378145,-0.580433,-0.399082,0.695147,0.0873436,0.706073,-0.697599,0.0803255,-0.695707,0.0724537,0.0277119,0.896179,0.263564,-0.704811,0.309221,0.252406,-0.756302,0.105052,-0.0625043,-0.0846616,0.755179
34.91,0,,19.3978,6.115,0.90318,-3.53717,2.9695,-5.09811,34.2991,8.81545,24.3616,16.8549,0.188724,-11.0843,5.24849,2.25806,1.67476,1.67476,0.591659,-0.591659,-8.83418,8.83418,-8.09816,-12.2796,2.91317,1.96221,-0.947717,7.81423,156.507,-1.74565,0.327537,153.503,17.6921,0.300577,152.211,-16.533,4.10118,148.628,8.09928,3.04794,151.436,4.69537,3.46165,150.403,-4.01369,10.1036,155.665,12.1636,-0.267981,89.8379,-101.067,-7.31863,368.141,-191.41,45.4171,378.896,12.7259,-76.6346,-512.347,1050.2,290.118,-0.523226,-255.846,-166.493,14.6096,6.32457,-280.735,108.511,-126.877,385.157,-0.377643,-0.57852,-0.397481,0.688491,0.0930805,0.710464,-0.698909,0.0831366,-0.691096,0.0784341,0.0397969,0.900069,0.263684,-0.704316,0.308302,0.25319,-0.756702,0.105231,-0.0628069,-0.0872827,0.755087
34.92,0,,21.055,6.25633,1.25889,-3.68264,3.61199,-4.87546,37.0059,8.78832,24.58,16.8614,1.08323,-11.0277,5.62308,2.25344,1.90551,1.90551,0.369756,-0.369756,-8.92128,8.92128,-7.13584,-12.2401,2.38201,1.857,0.10739,8.12102,156.282,-1.94003,0.0697047,152.488,19.1588,0.0786207,151.092,-17.7543,4.31477,147.247,7.13331,2.3701,151.409,4.62014,3.372,150.376,-4.05954,10.217,155.665,12.1153,-0.101833,166.51,-132.322,-46.38,343.766,-239.754,54.6958,330.562,2.93675,-45.8624,-260.743,1136.17,574.843,-40.5126,-273.923,-144.525,20.4699,9.81973,-293.445,126.596,-128.81,6.94499,-0.377161,-0.57737,-0.395595,0.682534,0.100409,0.713908,-0.700332,0.0843524,-0.686233,0.0882022,0.0410796,0.904179,0.264176,-0.703777,0.307941,0.253742,-0.757137,0.104866,-0.0629936,-0.0887526,0.75513
34.93,0,,22.5649,6.30933,1.4671,-3.81921,4.38324,-4.53821,39.5753,8.80805,24.8069,17.0313,-0.119784,-11.1564,5.47545,2.11484,2.03329,2.03329,0.218377,-0.218377,-9.00441,9.00441,-6.21429,-12.3426,3.8824,1.99042,0.730252,8.42558,156.034,-2.04241,-0.102683,151.308,20.564,-0.286137,149.89,-18.8999,4.48275,146.287,6.21776,3.80553,151.48,4.54702,3.36692,150.436,-4.15124,10.3159,155.643,12.2096,-0.152749,167.958,-140.144,-82.514,319.801,-190.943,56.1609,333.047,-4.36063,-72.2703,-325.286,442.829,269.986,-89.3221,-271.042,-120.117,37.143,9.81973,-239.279,-11.337,-96.2852,-41.0912,-0.376433,-0.577072,-0.393708,0.677139,0.109438,0.71663,-0.701989,0.0844144,-0.680992,0.087955,0.0272227,0.909214,0.265089,-0.703465,0.307998,0.253922,-0.757616,0.103766,-0.0635386,-0.0880141,0.755261
