"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
22.32,0,,3.62535,4.54595,0.549909,-2.4057,-0.620023,-9.78493,5.18613,7.4885,4.11832,5.77342,-0.294114,-8.15923,6.2704,7.23299,2.43387,2.43387,2.12411,-2.12411,-9.53629,9.53629,0.15721,-0.0404929,0.85696,2.59284,-3.90997,7.0558,43.9335,-112.805,44.9356,19.0693,357.877,-4.40812,134.786,498.532,-18.5283,9.22884,38.5186,10.2071,18.5456,119.122,-12.2214,-18.5539,252.948,38.0929,-5.9048,21.4397,49.2666,-0.350133,-0.520927,-0.406169,-0.717854,0.0133671,-0.695759,-0.710676,-0.0997376,-0.679241,0.22108,-0.255323,0.687168,0.28004,-0.722379,0.269542,0.210517,-0.676778,0.113163,0.268455,-0.102242,0.862804
22.33,0,,4.27079,4.50605,0.683975,-2.50888,-0.456989,-10.168,6.53076,7.38795,4.8344,5.63724,-0.112162,-8.29742,6.25016,7.6129,2.44953,2.44953,2.23154,-2.23154,-9.6132,9.6132,0.15721,0.05669,0.851466,2.57636,-3.83614,7.12682,32.2286,-92.2912,57.6226,-4.88651,394.051,31.2511,185.553,565.428,8.81735,25.9003,54.6159,-15.6108,42.9478,95.7292,-15.1505,-22.9495,233.906,87.9067,-11.6456,38.6284,77.1677,-0.349522,-0.521048,-0.40684,-0.715118,0.0103764,-0.698698,-0.710316,-0.0961982,-0.67882,0.22138,-0.255011,0.687945,0.279742,-0.723802,0.268328,0.212536,-0.67716,0.115607,0.269119,-0.102789,0.862597
22.34,0,,5.10474,4.46272,0.814288,-2.56302,-0.302601,-10.498,8.18944,7.23814,5.67918,5.42162,0.112162,-8.43357,6.24004,7.99525,2.47516,2.47516,2.34145,-2.34145,-9.76701,9.76701,0.15721,0.22676,0.802026,2.55439,-3.83067,7.31803,4.87438,-68.8346,71.7782,-39.0921,441.391,99.129,252.946,604.441,46.4102,13.6944,64.3893,-3.45239,51.2445,79.617,-10.2518,-10.7336,170.914,66.9068,-24.9314,58.035,118.139,-0.348638,-0.521249,-0.407233,-0.711951,0.00714149,-0.702063,-0.710064,-0.0921685,-0.678019,0.221937,-0.254226,0.689004,0.279556,-0.724953,0.266982,0.214426,-0.677642,0.118108,0.270212,-0.103641,0.862275
22.35,0,,6.14077,4.44106,0.94699,-2.59843,-0.153153,-10.7538,10.1666,7.07396,6.70216,5.10103,0.286636,-8.54738,6.1616,8.38491,2.5173,2.5173,2.43257,-2.43257,-10.0032,10.0032,0.117908,0.494013,0.769066,2.50495,-3.98106,7.67314,-12.699,-25.8876,82.0278,-31.226,478.012,180.16,344.683,583.434,22.4604,-28.2819,53.1786,26.4183,74.2367,37.0782,32.22,9.30248,122.529,94.7439,-52.323,75.2237,160.619,-0.34755,-0.521446,-0.407184,-0.708365,0.00415069,-0.705801,-0.710002,-0.0877736,-0.676675,0.222119,-0.253553,0.690161,0.279495,-0.725808,0.265761,0.216199,-0.678199,0.120551,0.271867,-0.105109,0.861748
22.36,0,,7.3457,4.38063,1.06673,-2.64917,0.0135862,-10.954,12.429,6.84822,7.82744,4.5705,0.423723,-8.60631,5.99712,8.77213,2.55888,2.55888,2.48823,-2.48823,-10.3108,10.3108,0.0864656,0.947533,0.769066,2.41156,-4.26542,8.13206,-49.321,2.43096,81.5278,13.1697,535.177,217.288,427.712,540.045,-23.4136,-21.137,39.0935,28.3696,72.7726,0.943809,67.3691,30.2586,103.487,91.8137,-73.8099,179.65,223.585,-0.346473,-0.521662,-0.40666,0.704444,-0.00170907,0.709754,-0.710051,-0.0831943,-0.674832,0.222305,-0.25313,0.691208,0.279798,-0.726473,0.264416,0.217784,-0.678742,0.123053,0.274728,-0.107547,0.860928
22.37,0,,8.7135,4.29169,1.16498,-2.71897,0.245786,-11.1122,14.9635,6.57117,9.02202,3.69385,0.565795,-8.58599,5.72636,9.16178,2.5959,2.5959,2.49709,-2.49709,-10.6679,10.6679,0.0864656,1.7169,0.763573,2.25226,-4.62907,8.64014,-85.943,20.983,67.3722,98.624,571.278,229.975,494.61,485.403,-33.7204,7.74032,16.6722,19.0632,57.1552,-23.4604,29.2909,0,69.3177,70.3254,-127.445,300.71,407.707,-0.345535,-0.521873,-0.405657,0.700173,0.000366231,0.713846,-0.710063,-0.0787399,-0.672524,0.222671,-0.252763,0.692184,0.28023,-0.726973,0.262956,0.21913,-0.679304,0.125679,0.279615,-0.111578,0.859599
22.38,0,,10.2366,4.20504,1.24037,-2.84258,0.561973,-11.2222,17.6992,6.26744,10.2364,2.39732,0.705375,-8.33806,5.36198,9.63668,2.64459,2.64459,2.44675,-2.44675,-11.0524,11.0524,0.117908,2.90739,0.747093,1.84026,-5.03648,9.26295,-118.172,32.7113,23.9365,226.09,528.776,221.696,543.497,411.13,-42.0015,21.137,22.4213,22.9659,21.9619,-38.5613,10.7568,-18.0427,40.4951,21.9767,-249.97,58.5894,453.077,-0.344873,-0.521887,-0.404264,0.695591,0.00213634,0.717931,-0.710142,-0.0746522,-0.669672,0.223339,-0.252332,0.69309,0.280715,-0.727393,0.261549,0.220228,-0.680093,0.128181,0.286215,-0.118966,0.857423
22.39,0,,11.8713,4.13092,1.33554,-2.96516,0.896687,-11.2469,20.5234,5.97398,11.4706,0.737636,0.807567,-8.24661,4.93181,9.97519,2.71407,2.71407,2.36733,-2.36733,-11.5194,11.5194,0.125768,4.47041,0.747093,1.55461,-5.55872,9.85845,-105.473,49.8134,0.968709,405.759,426.728,180.16,542.013,372.117,-93.2375,15.4806,-6.32395,21.9152,2.92826,-64.9206,-6.81771,-2.91341,4.89071,-24.9069,-284.25,125.496,232.885,-0.344249,-0.521744,-0.4026,0.690345,0.00323504,0.722268,-0.710247,-0.070927,-0.666482,0.223769,-0.25203,0.693952,0.281393,-0.727531,0.260273,0.221137,-0.680988,0.130131,0.296406,-0.126473,0.854426
22.4,0,,13.6086,4.07277,1.49588,-3.14699,1.24622,-11.2135,23.4183,5.71745,12.7047,-1.41002,0.879849,-8.26897,4.43837,10.019,2.79865,2.79865,2.256,-2.256,-12.1071,12.1071,0.110047,6.51935,0.763573,1.34586,-6.23954,10.2737,-84.9489,56.168,-19.0305,439.428,286.123,134.286,468.286,352.986,-115.698,5.35868,-27.308,21.9152,6.8326,-90.8079,-27.8264,36.1366,0,-51.2789,-354.452,319.377,580.517,-0.343896,-0.521337,-0.400845,0.68418,0.00384542,0.727029,-0.71037,-0.0674479,-0.663065,0.223892,-0.251908,0.694625,0.282176,-0.727688,0.259165,0.221811,-0.681913,0.131475,0.310934,-0.134347,0.850886
22.41,0,,15.462,4.05111,1.70397,-3.3278,1.59576,-11.0664,26.3951,5.49581,13.9125,-4.1109,1.00447,-7.97836,3.91711,10.0288,2.89689,2.89689,2.15389,-2.15389,-12.8268,12.8268,0.110047,9.15139,0.769066,0.774557,-7.06528,10.8091,-51.2772,66.9154,-60.06,323.225,87.9061,181.629,352.501,317.85,-60.5299,-6.25179,-11.7855,12.1584,39.0434,-113.257,-21.9682,49.3236,2.41275,-41.0231,-228.483,72.2665,529.742,-0.34347,-0.520851,-0.399077,0.676918,0.0045779,0.732341,-0.710189,-0.064213,-0.65971,0.224076,-0.251727,0.695241,0.282976,-0.727765,0.258316,0.221937,-0.682842,0.132088,0.32796,-0.146309,0.845934
