time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
30.89,-37.06321835,-1.097827528,-3.622646564,-0.000325774,1.62e-06,-0.001005942,4.14e-05,-0.020783056,0.000116651,-37.06966539193176,-1.2414233723105514,-3.786857129528571,-0.00024356,6.33e-06,-0.000260384,-3.69e-07,0.000294585,-2.03e-06
30.9,-37.00493974,-2.097643825,-3.427492674,-8.33e-05,8.73e-07,-0.001224769,5.96e-05,-0.029890987,0.000167772,-37.034943872931755,-1.0664212023105506,-3.751595496528571,-0.000245535,6.33e-06,-0.000259683,-4.35e-07,0.000347214,-2.39e-06
30.91,-37.33091991,1.293225659,-3.80353115,-0.004600046,1.12e-05,0.002218215,-0.000229905,0.115369804,-0.000647548,-36.94018963193176,-1.283311902310551,-3.472641775528571,-0.000244976,6.34e-06,-0.000257856,-4.49e-07,0.000358403,-2.46e-06
30.92,-37.32771484,3.837829976,-4.897738353,-0.00159794,5.15e-06,7.52e-05,-4.86e-05,0.024386586,-0.000136877,-36.94906595093176,-1.1098932523105507,-3.478298933528571,-0.000240388,6.36e-06,-0.000256306,-4.67e-07,0.000372472,-2.56e-06
30.93,-37.69231695,9.527921972,-5.792557292,0.000502102,2e-07,-0.001552516,8.8e-05,-0.044182786,0.000247989,-37.06319917393176,-1.1762532123105505,-3.740894770528571,-0.000241198,6.35e-06,-0.000258021,-4.6e-07,0.000366843,-2.52e-06
30.94,-36.89748603,27.68271713,-2.866554055,-0.000615357,2.45e-06,-0.000754044,2.03e-05,-0.010195186,5.72e-05,-37.10352406393176,-1.1652441323105514,-3.848941207528571,-0.000241003,6.34e-06,-0.000258343,-4.39e-07,0.000350111,-2.41e-06
30.95,-35.03846573,91.84700906,2.678972752,-1.23e-05,1.05e-06,-0.00121805,5.92e-05,-0.029708935,0.00016675,-37.01038952893176,-1.2431899623105505,-3.706854478528571,-0.000241465,6.33e-06,-0.000259704,-4.57e-07,0.000364242,-2.51e-06
30.96,-31.56446435,208.9851746,15.12675918,-0.000337763,1.88e-06,-0.000955607,3.85e-05,-0.019307714,0.00010837,-36.86442690093176,-1.281447402310551,-3.592068743528571,-0.000245218,6.35e-06,-0.000256743,-3.92e-07,0.000312847,-2.15e-06
30.97,-30.42782522,251.1979876,12.66407413,-0.00018948,1.61e-06,-0.001056146,4.69e-05,-0.023551514,0.00013219,-36.97644541093176,-1.1443887723105508,-3.615860302528571,-0.000242139,6.34e-06,-0.000257928,-5.04e-07,0.00040228,-2.77e-06
30.98,-34.62688895,251.0422282,0.68712875,-0.000237249,1.78e-06,-0.001008654,4.2e-05,-0.021072314,0.000118275,-36.969047382931755,-1.289110132310551,-3.626474513528571,-0.000244042,6.32e-06,-0.000261082,-4.78e-07,0.00038102,-2.62e-06
30.99,-38.89555505,264.4095097,-3.789019068,-0.000226638,1.82e-06,-0.001004682,4.11e-05,-0.020614404,0.000115705,-37.00021127993176,-1.2534248523105518,-3.695029614528571,-0.00024504,6.33e-06,-0.000259101,-4.55e-07,0.000362575,-2.49e-06
31.0,-42.80992193,272.671368,-6.98550781,-0.000213167,1.83e-06,-0.001008629,4.12e-05,-0.020655761,0.000115937,-37.02121469993176,-1.2242156923105512,-3.623596164528571,-0.000242052,6.31e-06,-0.000263119,-5.1e-07,0.000407054,-2.8e-06
31.01,-45.4168291,289.948874,-8.077160252,-0.000224111,1.88e-06,-0.000994656,3.98e-05,-0.019996003,0.000112234,-37.11173677893176,-1.3956124823105505,-3.662433896528571,-0.000243693,6.29e-06,-0.000265612,-4.06e-07,0.000323533,-2.23e-06
