timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
00:56.5,812,0.325,0.444,-0.646,-0.529,0.612,0.767,0.183,-0.062,0.608,0.615,-0.044,-0.5,0.67,0.659,-0.162,-0.301,0.589,0.634,0.276,0.417,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.42,0.525,0.596,0.439,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0.001,0.016,0,0,0.01,0,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0,0,12.061,0.041
00:56.5,813,0.323,0.443,-0.646,-0.531,0.613,0.766,0.184,-0.064,0.608,0.62,-0.046,-0.494,0.67,0.664,-0.158,-0.292,0.588,0.635,0.275,0.418,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.41,0.551,0.576,0.442,0.764,0.596,0.002,0.001,0,0,0,0,0.897,0.784,0.565,0,0.001,0,0,0.02,0.001,0.691,0.883,0.15,0,0.001,0,0,0.001,0,0,0.104,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,12.061,5.465
00:56.5,814,0.322,0.441,-0.646,-0.533,0.614,0.764,0.185,-0.066,0.609,0.623,-0.047,-0.488,0.672,0.667,-0.149,-0.285,0.586,0.637,0.274,0.418,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.405,0.58,0.546,0.449,0.766,0.603,0.005,0,0.013,0,0,0,0.907,0.819,0.703,0.001,0,0.001,0.007,0.024,0,0.695,0.884,0.302,0.001,0.001,0.001,0,0.005,0,0,0.164,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0,12.061,5.915
00:56.5,815,0.322,0.439,-0.647,-0.534,0.616,0.762,0.187,-0.068,0.608,0.627,-0.045,-0.485,0.674,0.665,-0.147,-0.286,0.583,0.64,0.273,0.419,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.417,0.583,0.539,0.443,0.769,0.619,0.115,0.001,0.026,0,0,0,0.902,0.838,0.775,0,0,0.001,0.031,0.044,0,0.712,0.868,0.481,0,0.001,0,0,0.022,0,0.001,0.206,0.001,0.001,0,0.001,0,0,0,0.001,0,0,0.001,0,0,0,0.001,0,0,12.061,6.418
00:56.5,816,0.323,0.436,-0.647,-0.535,0.618,0.76,0.189,-0.071,0.604,0.631,-0.04,-0.485,0.675,0.661,-0.154,-0.291,0.58,0.642,0.273,0.42,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.428,0.587,0.529,0.438,0.768,0.625,0.181,0,0.056,0,0,0,0.896,0.829,0.819,0.001,0,0,0.035,0.061,0,0.705,0.871,0.538,0,0,0,0.001,0.026,0,0.001,0.232,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0,0,0,0.001,0,0,12.061,6.654
00:56.5,817,0.325,0.433,-0.647,-0.537,0.62,0.758,0.191,-0.073,0.6,0.634,-0.033,-0.487,0.674,0.657,-0.163,-0.296,0.578,0.644,0.272,0.422,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.441,0.586,0.527,0.428,0.761,0.626,0.238,0.001,0.077,0.001,0,0.001,0.885,0.829,0.811,0.013,0.001,0,0.033,0.063,0.001,0.687,0.878,0.582,0,0.001,0,0,0.027,0,0,0.228,0.001,0.001,0.001,0,0,0.001,0,0,0.001,0,0,0,0.001,0,0.001,0,0,12.061,6.751
00:56.5,818,0.328,0.43,-0.646,-0.538,0.622,0.755,0.193,-0.076,0.595,0.635,-0.025,-0.492,0.673,0.654,-0.173,-0.298,0.576,0.644,0.272,0.424,0.597,-0.351,-0.688,-0.217,0.001,0.001,0.012,0.001,0.733,0.83,0.415,0.171,0.001,0.001,0.065,0.009,0.096,0.397,0.455,0.451,0.129,0.001,0.024,0.021,0.001,0.001,0.116,0.505,0.733,0.217,0.358,0.001,0.001,0.001,0.001,0.005,0.525,0.657,0.357,0.2,0.005,0.641,0.737,1.181,1.085,0.233,0.122,0.403,0.161,-0.454,0.584,0.527,0.419,0.759,0.623,0.302,0.001,0.101,0,0,0.001,0.864,0.822,0.805,0.068,0,0.001,0.029,0.065,0.001,0.68,0.894,0.624,0,0,0,0,0.029,0,0,0.231,0.002,0,0,0,0,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0,12.061,6.906
00:56.6,819,0.331,0.426,-0.646,-0.54,0.624,0.753,0.196,-0.078,0.593,0.633,-0.021,-0.498,0.672,0.652,-0.184,-0.298,0.574,0.644,0.273,0.426,0.59,-0.413,-0.649,-0.246,0.001,0.001,0.006,0.001,0.68,0.816,0.411,0.172,0.001,0.001,0.06,0.001,0.072,0.372,0.458,0.452,0.138,0.001,0.021,0.022,0.001,0.001,0.11,0.508,0.737,0.212,0.361,0.001,0.001,0.001,0.001,0.004,0.526,0.659,0.363,0.204,0.004,0.648,0.735,1.181,1.093,0.233,0.122,0.404,0.167,-0.468,0.579,0.529,0.407,0.766,0.628,0.358,0.05,0.172,0,0.013,0.001,0.858,0.823,0.847,0.122,0.004,0,0.033,0.055,0,0.676,0.894,0.65,0.001,0,0,0,0.033,0,0,0.253,0.012,0,0,0,0,0.001,0,0.001,0,0,0.001,0,0,0.001,0,0,0.001,11.964,7.254
00:56.6,820,0.335,0.421,-0.645,-0.543,0.626,0.75,0.199,-0.08,0.592,0.628,-0.02,-0.504,0.671,0.652,-0.195,-0.294,0.573,0.643,0.274,0.427,0.589,-0.426,-0.64,-0.25,0.001,0.001,0.001,0.001,0.07,0.071,0.25,0.082,0.001,0.001,0.034,0.001,0.001,0.001,0.216,0.379,0.176,0.001,0.001,0.002,0.001,0.001,0.001,0.281,0.691,0.194,0.435,0.001,0.001,0.001,0.001,0.001,0.442,0.686,0.391,0.228,0.001,0.767,0.852,1.217,1.148,0.355,0.166,0.49,0.348,-0.481,0.573,0.535,0.393,0.772,0.63,0.421,0.123,0.327,0.001,0.054,0,0.871,0.824,0.86,0.254,0.039,0,0.034,0.062,0.001,0.678,0.902,0.695,0.002,0.001,0.001,0.001,0.029,0,0,0.282,0.065,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,9.991,7.933
00:56.6,821,0.34,0.415,-0.644,-0.545,0.628,0.747,0.203,-0.084,0.594,0.624,-0.024,-0.507,0.67,0.651,-0.208,-0.288,0.573,0.642,0.276,0.428,0.585,-0.448,-0.625,-0.256,0.001,0.001,0.001,0.001,0.068,0.042,0.212,0.054,0.001,0.001,0.022,0.001,0.001,0.001,0.147,0.309,0.184,0.001,0.001,0.001,0.001,0.001,0.009,0.228,0.664,0.186,0.438,0.001,0.001,0.001,0.001,0.015,0.377,0.713,0.399,0.228,0.001,0.779,0.905,1.204,1.138,0.41,0.193,0.507,0.361,-0.483,0.581,0.527,0.389,0.796,0.626,0.487,0.287,0.612,0.155,0.082,0,0.868,0.803,0.822,0.397,0.062,0,0.065,0.076,0,0.691,0.916,0.746,0.017,0.001,0.001,0,0.029,0,0,0.344,0.154,0.001,0,0,0,0.001,0,0,0.001,0.001,0,0,0,0.001,0,0,0,9.811,9.042
