timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
05:01.5,642,-0.506,-0.641,-0.48,-0.319,-0.599,-0.722,0.117,0.325,0.056,-0.281,0.632,0.72,-0.188,-0.391,0.548,0.715,-0.515,-0.849,-0.03,-0.113,0.482,0.426,-0.642,0.417,0.001,0.001,0.001,0.001,0.066,0.14,0.248,0.101,0.001,0.001,0.001,0.001,0.001,0.06,0.347,0.365,0.297,0.001,0.001,0.001,0.001,0.001,0.061,0.513,0.748,0.28,0.399,0.001,0.001,0.001,0.001,0.012,0.518,0.691,0.346,0.353,0.001,0.656,0.709,0.911,0.795,0.543,0.179,0.556,0.355,-0.714,-0.166,0.678,-0.054,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.012,0,0,0,0,0,0.001,0.001,0,0,0,0,0.001,0,0,0,0.001,0.018,0.001,0.001,0,0,0.001,0.001,0,0.001,0,10.268,0.046
05:01.5,643,-0.507,-0.641,-0.481,-0.317,-0.599,-0.722,0.115,0.328,0.057,-0.279,0.633,0.72,-0.189,-0.388,0.552,0.714,-0.514,-0.85,-0.029,-0.113,0.483,0.418,-0.647,0.415,0.001,0.001,0.001,0.001,0.039,0.123,0.232,0.096,0.001,0.001,0.001,0.001,0.001,0.048,0.33,0.359,0.303,0.001,0.001,0.001,0.001,0.001,0.045,0.501,0.742,0.288,0.408,0.001,0.001,0.001,0.001,0.002,0.523,0.689,0.344,0.354,0.001,0.656,0.723,0.922,0.803,0.554,0.188,0.558,0.354,-0.716,-0.156,0.678,-0.056,0,0.001,0,0,0,0.001,0,0,0,0.04,0.028,0,0,0,0.001,0.001,0,0,0.042,0.011,0,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0,0.013,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,10.203,0.148
05:01.5,644,-0.508,-0.641,-0.482,-0.314,-0.598,-0.721,0.113,0.33,0.058,-0.278,0.633,0.72,-0.19,-0.385,0.556,0.712,-0.514,-0.85,-0.028,-0.113,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.717,-0.144,0.679,-0.069,0,0.009,0.001,0,0.001,0,0.001,0.001,0,0.275,0.067,0.001,0.001,0.001,0,0,0,0,0.365,0.015,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0,0.001,0,0,0,0.007,0,0.001,0,0,0,0,0.001,0,0,10.18,0.752
05:01.5,645,-0.51,-0.64,-0.483,-0.312,-0.599,-0.721,0.112,0.331,0.059,-0.277,0.634,0.72,-0.191,-0.382,0.56,0.71,-0.513,-0.85,-0.027,-0.113,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.18,1.257
05:01.5,646,-0.511,-0.639,-0.484,-0.31,-0.599,-0.72,0.11,0.332,0.061,-0.276,0.634,0.72,-0.193,-0.378,0.565,0.707,-0.512,-0.851,-0.026,-0.113,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.18,1.257
05:01.5,647,-0.512,-0.638,-0.484,-0.309,-0.599,-0.72,0.108,0.333,0.062,-0.274,0.635,0.72,-0.194,-0.375,0.569,0.705,-0.511,-0.852,-0.024,-0.113,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.18,1.257
05:01.5,648,-0.514,-0.638,-0.485,-0.307,-0.599,-0.719,0.107,0.334,0.063,-0.272,0.636,0.719,-0.196,-0.374,0.571,0.704,-0.51,-0.852,-0.023,-0.112,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.18,1.257
05:01.5,649,-0.515,-0.637,-0.485,-0.306,-0.6,-0.719,0.106,0.335,0.063,-0.27,0.638,0.718,-0.199,-0.375,0.571,0.702,-0.509,-0.853,-0.023,-0.111,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.18,1.257
05:01.5,650,-0.516,-0.636,-0.485,-0.305,-0.6,-0.719,0.105,0.335,0.061,-0.266,0.64,0.718,-0.201,-0.376,0.57,0.703,-0.507,-0.854,-0.022,-0.111,0.485,0.412,-0.652,0.413,0.001,0.001,0.001,0.001,0.022,0.085,0.221,0.094,0.001,0.001,0.001,0.001,0.002,0.045,0.313,0.355,0.319,0.001,0.001,0.001,0.001,0.001,0.042,0.49,0.736,0.292,0.416,0.001,0.001,0.001,0.001,0.002,0.525,0.681,0.338,0.359,0.001,0.668,0.731,0.934,0.795,0.575,0.201,0.557,0.364,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.18,1.257
05:01.6,651,-0.517,-0.636,-0.485,-0.305,-0.601,-0.718,0.104,0.335,0.057,-0.264,0.64,0.719,-0.202,-0.373,0.57,0.704,-0.506,-0.855,-0.021,-0.11,0.517,0.306,-0.706,0.375,0.001,0.001,0.001,0.001,0.016,0.074,0.21,0.093,0.001,0.001,0.001,0.001,0.001,0.04,0.291,0.348,0.325,0.001,0.001,0.001,0.001,0.001,0.034,0.479,0.729,0.299,0.413,0.001,0.001,0.001,0.001,0.002,0.526,0.679,0.338,0.353,0.001,0.683,0.744,0.943,0.814,0.602,0.216,0.563,0.38,-0.72,-0.131,0.677,-0.074,0.001,0.053,0,0,0.001,0,0,0,0.053,0.419,0.09,0,0,0.001,0,0.001,0.001,0,0.609,0.013,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0.004,0.001,0.001,0,0,0,0,0,0,0,10.213,1.257
