timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
05:10.9,3583,-0.622,-0.766,0.118,0.105,0.577,0.656,0.413,0.257,0.315,-0.089,0.585,0.742,0.219,0.352,-0.598,-0.686,-0.448,-0.665,-0.481,-0.354,-0.635,0.192,0.737,0.132,0.001,0.024,0.41,0.587,1.155,0.816,0.418,0.132,0.001,0.145,0.526,0.443,0.515,0.685,0.495,0.496,0.107,0.001,0.22,0.409,0.197,0.092,0.419,0.593,0.835,0.068,0.547,0.001,0.051,0.029,0.006,0.083,0.519,0.652,0.289,0.241,0.009,0.537,0.587,1.122,0.385,0.236,0.046,0.409,0.001,0.453,-0.23,-0.785,-0.355,0,0.001,0,0,0.001,0,0.001,0.001,0,0.001,0.115,0,0,0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0,0.001,0,15.54,0.137
05:10.9,3584,-0.622,-0.766,0.12,0.109,0.579,0.655,0.414,0.253,0.315,-0.089,0.587,0.741,0.217,0.353,-0.596,-0.687,-0.449,-0.666,-0.479,-0.353,-0.634,0.192,0.738,0.131,0.001,0.002,0.339,0.508,1.15,0.828,0.42,0.138,0.001,0.083,0.458,0.394,0.496,0.69,0.498,0.498,0.107,0.001,0.166,0.375,0.16,0.06,0.407,0.597,0.835,0.079,0.546,0.001,0.007,0.012,0.005,0.078,0.52,0.652,0.309,0.256,0.01,0.535,0.587,1.136,0.431,0.239,0.048,0.418,0.002,0.459,-0.237,-0.778,-0.358,0,0,0,0,0.001,0.001,0.001,0,0,0,0.145,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0,0.001,0.001,15.083,0.164
05:10.9,3585,-0.621,-0.766,0.12,0.112,0.581,0.655,0.414,0.248,0.316,-0.089,0.588,0.739,0.215,0.353,-0.595,-0.689,-0.449,-0.668,-0.478,-0.352,-0.633,0.193,0.739,0.13,0.001,0.001,0.263,0.405,1.145,0.828,0.421,0.148,0.001,0.024,0.37,0.332,0.477,0.703,0.503,0.501,0.109,0.001,0.114,0.294,0.093,0.039,0.4,0.603,0.834,0.089,0.551,0.001,0.004,0.002,0.005,0.073,0.519,0.653,0.314,0.256,0.01,0.532,0.589,1.147,0.454,0.243,0.048,0.43,0.002,0.465,-0.245,-0.771,-0.36,0,0.018,0,0.001,0.001,0.001,0,0.001,0.001,0.034,0.209,0.001,0,0,0,0,0,0,0.016,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,14.532,0.289
05:10.9,3586,-0.62,-0.766,0.12,0.116,0.583,0.654,0.415,0.244,0.317,-0.088,0.588,0.738,0.212,0.352,-0.595,-0.691,-0.45,-0.669,-0.477,-0.351,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.465,-0.245,-0.771,-0.36,0,0.018,0,0.001,0.001,0.001,0,0.001,0.001,0.034,0.209,0.001,0,0,0,0,0,0,0.016,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,13.877,0.289
05:10.9,3587,-0.619,-0.767,0.12,0.12,0.585,0.654,0.416,0.239,0.318,-0.088,0.589,0.738,0.209,0.349,-0.595,-0.693,-0.45,-0.67,-0.475,-0.349,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.465,-0.245,-0.771,-0.36,0,0.018,0,0.001,0.001,0.001,0,0.001,0.001,0.034,0.209,0.001,0,0,0,0,0,0,0.016,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,13.877,0.289
05:10.9,3588,-0.617,-0.768,0.12,0.125,0.587,0.653,0.417,0.234,0.318,-0.088,0.589,0.737,0.207,0.344,-0.597,-0.694,-0.451,-0.671,-0.474,-0.348,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.465,-0.245,-0.771,-0.36,0,0.018,0,0.001,0.001,0.001,0,0.001,0.001,0.034,0.209,0.001,0,0,0,0,0,0,0.016,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,13.877,0.289
05:11.0,3589,-0.615,-0.769,0.119,0.13,0.589,0.653,0.418,0.229,0.318,-0.087,0.589,0.737,0.206,0.338,-0.601,-0.695,-0.451,-0.672,-0.473,-0.347,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.465,-0.245,-0.771,-0.36,0,0.018,0,0.001,0.001,0.001,0,0.001,0.001,0.034,0.209,0.001,0,0,0,0,0,0,0.016,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,13.877,0.289
05:11.0,3590,-0.613,-0.769,0.119,0.135,0.592,0.652,0.418,0.225,0.319,-0.087,0.589,0.737,0.205,0.333,-0.605,-0.694,-0.451,-0.674,-0.473,-0.345,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.465,-0.245,-0.771,-0.36,0,0.018,0,0.001,0.001,0.001,0,0.001,0.001,0.034,0.209,0.001,0,0,0,0,0,0,0.016,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,13.877,0.289
05:11.0,3591,-0.611,-0.77,0.119,0.14,0.595,0.651,0.417,0.22,0.319,-0.085,0.589,0.738,0.204,0.33,-0.609,-0.691,-0.449,-0.676,-0.472,-0.344,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.569,-0.321,-0.69,-0.312,0,0.022,0,0.001,0,0,0.001,0,0,0.044,0.214,0,0.001,0,0,0,0,0.001,0.022,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0.001,0.001,0,0.001,13.877,0.318
05:11.0,3592,-0.61,-0.77,0.119,0.144,0.598,0.65,0.416,0.217,0.32,-0.083,0.588,0.738,0.203,0.333,-0.61,-0.69,-0.447,-0.678,-0.472,-0.342,-0.632,0.193,0.74,0.128,0.001,0.001,0.149,0.293,1.131,0.823,0.424,0.154,0.001,0.001,0.294,0.244,0.415,0.708,0.507,0.504,0.112,0.001,0.045,0.176,0.026,0.042,0.398,0.606,0.834,0.096,0.556,0.001,0.002,0.001,0.005,0.068,0.518,0.654,0.331,0.247,0.01,0.53,0.592,1.16,0.48,0.248,0.051,0.435,0.002,0.585,-0.322,-0.685,-0.29,1.026,0.778,0.114,0.001,0.001,0,0,0,0.772,0.725,0.65,0,0,0,0.001,0,0,0.092,0.823,0.352,0,0,0,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0,0.001,0,0,0.001,13.877,5.347
