timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
04:33.1,7511,-0.14,-0.219,0.716,0.648,-0.473,-0.67,0.347,0.454,-0.725,-0.607,-0.324,0.028,-0.682,-0.727,0.003,0.074,0.336,0.188,-0.621,-0.682,-0.566,-0.231,0.712,-0.344,0.001,0.001,0.001,0.001,0.001,0.001,0.223,0.243,0.001,0.001,0.001,0.001,0.001,0.001,0.315,0.427,0.376,0.001,0.001,0.001,0.001,0.001,0.001,0.419,0.755,0.336,0.474,0.001,0.001,0.001,0.001,0.001,0.352,0.625,0.374,0.639,0.001,0.527,0.632,0.974,0.639,0.315,0.153,0.584,0.32,0.219,-0.762,-0.287,-0.537,0,0,0,0,0.001,0.001,0.001,0,0,0.001,0,0.001,0,0,0.001,0.007,0,0,0.001,0,0.001,0,0.001,0,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0.01,0.001,0.001,9.726,0.034
04:33.2,7512,-0.14,-0.219,0.715,0.648,-0.473,-0.671,0.345,0.455,-0.722,-0.609,-0.326,0.025,-0.68,-0.73,0.002,0.072,0.335,0.189,-0.621,-0.683,-0.566,-0.231,0.712,-0.344,0.001,0.001,0.001,0.001,0.001,0.001,0.223,0.243,0.001,0.001,0.001,0.001,0.001,0.001,0.315,0.427,0.376,0.001,0.001,0.001,0.001,0.001,0.001,0.419,0.755,0.336,0.474,0.001,0.001,0.001,0.001,0.001,0.352,0.625,0.374,0.639,0.001,0.527,0.632,0.974,0.639,0.315,0.153,0.584,0.32,0.228,-0.777,-0.28,-0.516,1.111,0.824,0.101,0.001,0,0,0,0.001,0.736,0.839,0.608,0,0.001,0.001,0.001,0.022,0,0.044,0.735,0.197,0.001,0,0.001,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0.031,0,0,9.726,5.26
04:33.2,7513,-0.141,-0.22,0.715,0.648,-0.473,-0.671,0.343,0.456,-0.72,-0.611,-0.328,0.02,-0.678,-0.732,-0.004,0.071,0.335,0.189,-0.621,-0.683,-0.566,-0.231,0.712,-0.344,0.001,0.001,0.001,0.001,0.001,0.001,0.223,0.243,0.001,0.001,0.001,0.001,0.001,0.001,0.315,0.427,0.376,0.001,0.001,0.001,0.001,0.001,0.001,0.419,0.755,0.336,0.474,0.001,0.001,0.001,0.001,0.001,0.352,0.625,0.374,0.639,0.001,0.527,0.632,0.974,0.639,0.315,0.153,0.584,0.32,0.225,-0.788,-0.253,-0.514,1.076,0.819,0.147,0.001,0.001,0,0,0.001,0.723,0.884,0.695,0.011,0,0.001,0.001,0.032,0.001,0.084,0.781,0.342,0.001,0,0.001,0.001,0,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.034,0.001,0.001,9.726,5.648
04:33.2,7514,-0.143,-0.221,0.715,0.648,-0.474,-0.67,0.341,0.457,-0.717,-0.613,-0.331,0.015,-0.677,-0.733,-0.008,0.071,0.336,0.19,-0.621,-0.682,-0.566,-0.231,0.712,-0.344,0.001,0.001,0.001,0.001,0.001,0.001,0.223,0.243,0.001,0.001,0.001,0.001,0.001,0.001,0.315,0.427,0.376,0.001,0.001,0.001,0.001,0.001,0.001,0.419,0.755,0.336,0.474,0.001,0.001,0.001,0.001,0.001,0.352,0.625,0.374,0.639,0.001,0.527,0.632,0.974,0.639,0.315,0.153,0.584,0.32,0.223,-0.795,-0.22,-0.519,1.079,0.811,0.182,0.001,0.001,0.001,0,0,0.661,0.915,0.747,0.002,0,0,0.009,0.049,0.001,0.103,0.805,0.454,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0,0,0.001,0.035,0,0,9.726,5.865
04:33.2,7515,-0.145,-0.221,0.714,0.648,-0.476,-0.669,0.339,0.459,-0.715,-0.613,-0.336,0.009,-0.677,-0.732,-0.007,0.073,0.336,0.191,-0.622,-0.681,-0.566,-0.231,0.712,-0.344,0.001,0.001,0.001,0.001,0.001,0.001,0.223,0.243,0.001,0.001,0.001,0.001,0.001,0.001,0.315,0.427,0.376,0.001,0.001,0.001,0.001,0.001,0.001,0.419,0.755,0.336,0.474,0.001,0.001,0.001,0.001,0.001,0.352,0.625,0.374,0.639,0.001,0.527,0.632,0.974,0.639,0.315,0.153,0.584,0.32,0.222,-0.799,-0.184,-0.527,1.07,0.803,0.283,0.001,0.001,0,0,0.001,0.628,0.941,0.785,0.001,0,0,0.018,0.057,0,0.106,0.821,0.536,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0.001,0,0.001,0.035,0,0,9.726,6.097
04:33.2,7516,-0.148,-0.222,0.713,0.648,-0.478,-0.668,0.337,0.46,-0.712,-0.613,-0.342,0.006,-0.678,-0.731,0,0.076,0.338,0.191,-0.623,-0.679,-0.581,-0.118,0.738,-0.322,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.242,0.001,0.001,0.001,0.001,0.001,0.001,0.319,0.426,0.377,0.001,0.001,0.001,0.001,0.001,0.001,0.414,0.755,0.339,0.479,0.001,0.001,0.001,0.001,0.001,0.349,0.623,0.375,0.635,0.001,0.527,0.634,0.984,0.645,0.319,0.159,0.584,0.327,0.225,-0.798,-0.166,-0.534,1.068,0.813,0.346,0,0.001,0,0,0,0.596,0.946,0.821,0,0.001,0,0.021,0.067,0.001,0.11,0.833,0.606,0.001,0,0,0,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0.001,0,0,0.001,0,0,0.032,0.001,0.001,9.755,6.274
04:33.2,7517,-0.151,-0.223,0.712,0.648,-0.479,-0.667,0.335,0.461,-0.709,-0.613,-0.349,0.005,-0.678,-0.731,0.011,0.076,0.339,0.192,-0.624,-0.677,-0.585,-0.091,0.742,-0.316,0.001,0.001,0.001,0.013,0.001,0.001,0.073,0.151,0.001,0.001,0.001,0.001,0.001,0.001,0.192,0.304,0.352,0.001,0.001,0.001,0.001,0.001,0.001,0.292,0.567,0.252,0.347,0.001,0.001,0.001,0.001,0.001,0.35,0.531,0.35,0.36,0.001,0.667,0.775,1.087,0.737,0.431,0.184,0.586,0.458,0.232,-0.795,-0.152,-0.54,1.084,0.825,0.41,0.001,0,0,0.002,0,0.573,0.958,0.869,0,0,0.001,0.026,0.077,0.001,0.112,0.84,0.662,0,0,0,0,0.001,0,0,0.002,0.001,0.001,0.001,0,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.031,0.001,0,9.082,6.483
04:33.2,7518,-0.155,-0.223,0.712,0.648,-0.481,-0.665,0.333,0.464,-0.706,-0.614,-0.354,0.007,-0.679,-0.73,0.024,0.075,0.341,0.192,-0.624,-0.676,-0.588,-0.066,0.744,-0.31,0.001,0.001,0.001,0.024,0.001,0.001,0.065,0.133,0.001,0.001,0.001,0.001,0.001,0.01,0.187,0.299,0.36,0.001,0.001,0.001,0.001,0.001,0.001,0.278,0.548,0.223,0.325,0.001,0.001,0.001,0.001,0.001,0.372,0.505,0.327,0.32,0.001,0.672,0.714,1.101,0.758,0.415,0.175,0.578,0.465,0.234,-0.793,-0.142,-0.545,1.11,0.829,0.493,0.001,0,0,0.002,0,0.559,0.971,0.88,0,0.001,0,0.032,0.083,0.001,0.111,0.842,0.716,0,0.001,0,0.001,0.001,0,0.001,0.012,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0.028,0,0,8.876,6.683
04:33.2,7519,-0.158,-0.222,0.711,0.648,-0.483,-0.663,0.332,0.466,-0.704,-0.615,-0.356,0.007,-0.68,-0.729,0.035,0.073,0.341,0.193,-0.625,-0.676,-0.59,-0.04,0.746,-0.306,0.001,0.001,0.001,0.023,0.001,0.001,0.066,0.107,0.001,0.001,0.001,0.001,0,0.006,0.176,0.287,0.35,0.001,0.001,0.001,0.001,0.001,0.013,0.263,0.498,0.201,0.291,0.001,0.001,0.001,0.001,0.001,0.372,0.466,0.313,0.319,0.001,0.658,0.647,1.117,0.773,0.377,0.177,0.564,0.462,0.235,-0.789,-0.129,-0.553,1.129,0.842,0.557,0.001,0,0,0.015,0.001,0.526,0.971,0.874,0,0,0.001,0.038,0.085,0,0.103,0.841,0.772,0,0.001,0,0,0.002,0.001,0,0.02,0.01,0,0,0.001,0.001,0,0,0.001,0,0.001,0,0,0.001,0,0.028,0.001,0.001,8.546,6.825
04:33.2,7520,-0.162,-0.22,0.711,0.648,-0.484,-0.66,0.331,0.469,-0.702,-0.618,-0.355,0.005,-0.679,-0.729,0.045,0.071,0.34,0.193,-0.625,-0.676,-0.592,-0.007,0.748,-0.3,0.001,0.001,0.001,0.026,0.001,0.001,0.054,0.098,0.001,0.001,0.001,0.001,0.001,0.001,0.158,0.277,0.349,0.001,0.001,0.001,0.001,0.001,0.015,0.244,0.432,0.166,0.293,0.001,0.001,0.001,0.001,0.001,0.35,0.371,0.293,0.316,0.001,0.652,0.592,1.101,0.8,0.272,0.188,0.551,0.451,0.238,-0.783,-0.116,-0.562,1.158,0.846,0.604,0,0,0.001,0.055,0.001,0.487,0.978,0.884,0,0.001,0,0.061,0.085,0.001,0.09,0.847,0.805,0.001,0.015,0,0.001,0.021,0,0.001,0.029,0.023,0,0,0,0.001,0,0,0.001,0.001,0.001,0.001,0,0,0,0.026,0,0.001,8.071,7.027
