timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
02:38.5,11046,-0.055,-0.037,-0.781,-0.621,-0.302,0.012,-0.74,-0.601,0.773,0.294,0.44,0.349,0.556,0.674,-0.25,-0.417,-0.231,-0.047,0.708,0.666,-0.501,0.515,0.552,0.424,0.001,0.001,0.001,0.001,0.14,0.364,0.263,0.078,0.001,0.001,0.001,0.001,0.001,0.321,0.383,0.377,0.225,0.001,0.001,0.001,0.001,0.001,0.067,0.492,0.706,0.19,0.455,0.001,0.001,0.001,0.001,0.023,0.536,0.709,0.123,0.034,0.002,0.692,0.752,1.051,0.283,0.451,0.17,0.578,0.002,-0.729,0.315,0.516,0.322,0,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,9.485,0.016
02:38.5,11047,-0.058,-0.035,-0.781,-0.621,-0.304,0.014,-0.739,-0.601,0.772,0.299,0.439,0.349,0.556,0.678,-0.244,-0.414,-0.229,-0.046,0.71,0.664,-0.501,0.515,0.552,0.424,0.001,0.001,0.001,0.001,0.14,0.364,0.263,0.078,0.001,0.001,0.001,0.001,0.001,0.321,0.383,0.377,0.225,0.001,0.001,0.001,0.001,0.001,0.067,0.492,0.706,0.19,0.455,0.001,0.001,0.001,0.001,0.023,0.536,0.709,0.123,0.034,0.002,0.692,0.752,1.051,0.283,0.451,0.17,0.578,0.002,-0.754,0.315,0.477,0.322,0.672,0.332,0.001,0,0.001,0,0,0.001,0.858,0.722,0.136,0.001,0.001,0,0.001,0,0,0.548,0.788,0.032,0.001,0,0,0.001,0.001,0,0,0.013,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,9.485,4.116
02:38.5,11048,-0.061,-0.032,-0.781,-0.62,-0.306,0.016,-0.737,-0.602,0.77,0.304,0.439,0.35,0.556,0.681,-0.235,-0.415,-0.227,-0.044,0.713,0.662,-0.501,0.515,0.552,0.424,0.001,0.001,0.001,0.001,0.14,0.364,0.263,0.078,0.001,0.001,0.001,0.001,0.001,0.321,0.383,0.377,0.225,0.001,0.001,0.001,0.001,0.001,0.067,0.492,0.706,0.19,0.455,0.001,0.001,0.001,0.001,0.023,0.536,0.709,0.123,0.034,0.002,0.692,0.752,1.051,0.283,0.451,0.17,0.578,0.002,-0.754,0.315,0.477,0.322,0.672,0.332,0.001,0,0.001,0,0,0.001,0.858,0.722,0.136,0.001,0.001,0,0.001,0,0,0.548,0.788,0.032,0.001,0,0,0.001,0.001,0,0,0.013,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,9.485,4.116
02:38.5,11049,-0.064,-0.03,-0.781,-0.62,-0.308,0.017,-0.736,-0.603,0.768,0.308,0.439,0.351,0.555,0.681,-0.229,-0.419,-0.225,-0.043,0.715,0.66,-0.501,0.515,0.552,0.424,0.001,0.001,0.001,0.001,0.14,0.364,0.263,0.078,0.001,0.001,0.001,0.001,0.001,0.321,0.383,0.377,0.225,0.001,0.001,0.001,0.001,0.001,0.067,0.492,0.706,0.19,0.455,0.001,0.001,0.001,0.001,0.023,0.536,0.709,0.123,0.034,0.002,0.692,0.752,1.051,0.283,0.451,0.17,0.578,0.002,-0.754,0.315,0.477,0.322,0.672,0.332,0.001,0,0.001,0,0,0.001,0.858,0.722,0.136,0.001,0.001,0,0.001,0,0,0.548,0.788,0.032,0.001,0,0,0.001,0.001,0,0,0.013,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,9.485,4.116
02:38.5,11050,-0.067,-0.028,-0.781,-0.62,-0.309,0.018,-0.734,-0.604,0.765,0.31,0.44,0.353,0.554,0.678,-0.229,-0.427,-0.224,-0.042,0.717,0.659,-0.509,0.531,0.504,0.452,0.001,0.001,0.001,0.001,0.098,0.304,0.267,0.082,0.001,0.001,0.001,0.001,0.001,0.27,0.382,0.372,0.221,0.001,0.001,0.001,0.001,0.001,0.043,0.485,0.702,0.194,0.455,0.001,0.001,0.001,0.001,0.02,0.537,0.711,0.143,0.035,0.002,0.696,0.752,1.06,0.287,0.453,0.177,0.587,0.002,-0.754,0.315,0.477,0.322,0.672,0.332,0.001,0,0.001,0,0,0.001,0.858,0.722,0.136,0.001,0.001,0,0.001,0,0,0.548,0.788,0.032,0.001,0,0,0.001,0.001,0,0,0.013,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,9.355,4.116
02:38.5,11051,-0.07,-0.025,-0.78,-0.621,-0.31,0.018,-0.733,-0.606,0.762,0.311,0.443,0.355,0.552,0.664,-0.238,-0.434,-0.223,-0.041,0.718,0.658,-0.512,0.533,0.493,0.459,0.001,0.001,0.001,0.001,0.001,0.001,0.181,0.061,0.001,0.001,0.001,0.001,0.001,0.053,0.223,0.32,0.247,0.001,0.001,0.001,0.001,0.001,0.001,0.313,0.629,0.21,0.496,0.001,0.001,0.001,0.001,0.065,0.499,0.689,0.131,0.016,0.001,0.846,0.836,1.078,0.256,0.643,0.28,0.665,0.006,-0.754,0.315,0.477,0.322,0.672,0.332,0.001,0,0.001,0,0,0.001,0.858,0.722,0.136,0.001,0.001,0,0.001,0,0,0.548,0.788,0.032,0.001,0,0,0.001,0.001,0,0,0.013,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,8.765,4.116
02:38.5,11052,-0.074,-0.024,-0.78,-0.621,-0.31,0.018,-0.731,-0.608,0.761,0.308,0.447,0.356,0.552,0.664,-0.253,-0.435,-0.222,-0.04,0.72,0.657,-0.51,0.539,0.478,0.469,0.001,0,0.001,0.001,0.001,0.001,0.154,0.044,0.001,0.001,0.001,0.001,0.001,0.02,0.187,0.298,0.258,0.001,0.001,0.001,0.002,0.001,0.001,0.286,0.602,0.204,0.474,0.001,0.001,0.001,0.001,0.068,0.466,0.689,0.128,0.018,0.001,0.869,0.863,1.071,0.221,0.702,0.3,0.672,0.02,-0.754,0.315,0.477,0.322,0.672,0.332,0.001,0,0.001,0,0,0.001,0.858,0.722,0.136,0.001,0.001,0,0.001,0,0,0.548,0.788,0.032,0.001,0,0,0.001,0.001,0,0,0.013,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,8.636,4.116
02:38.5,11053,-0.077,-0.023,-0.778,-0.623,-0.311,0.017,-0.729,-0.61,0.76,0.304,0.451,0.355,0.555,0.657,-0.27,-0.433,-0.222,-0.038,0.721,0.656,-0.501,0.552,0.458,0.484,0.001,0.001,0.001,0.001,0.001,0.001,0.121,0.039,0.001,0.001,0.001,0.023,0.001,0.013,0.159,0.258,0.265,0.001,0.001,0.001,0.001,0.001,0.001,0.234,0.57,0.205,0.455,0.001,0.001,0.001,0.001,0.098,0.431,0.696,0.12,0.011,0.001,0.889,0.889,1.066,0.194,0.772,0.322,0.667,0.018,-0.746,0.405,0.484,0.211,0.663,0.332,0.001,0.001,0,0,0,0,0.856,0.72,0.164,0,0,0.001,0,0,0,0.56,0.792,0.039,0,0.001,0,0,0,0,0,0.013,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,8.536,4.148
02:38.5,11054,-0.079,-0.022,-0.777,-0.624,-0.312,0.015,-0.726,-0.612,0.76,0.3,0.456,0.353,0.56,0.648,-0.285,-0.43,-0.221,-0.037,0.722,0.655,-0.488,0.567,0.442,0.494,0.001,0.001,0.001,0.02,0.001,0.001,0.094,0.029,0.001,0.001,0.001,0.067,0.001,0.033,0.142,0.249,0.263,0.001,0.001,0.001,0.001,0.001,0.006,0.211,0.526,0.21,0.431,0.001,0.001,0.001,0.001,0.104,0.393,0.694,0.11,0.005,0.001,0.858,0.918,1.063,0.133,0.871,0.327,0.667,0.001,-0.744,0.418,0.474,0.218,0.53,0.464,0.039,0.001,0,0,0,0,0.795,0.773,0.816,0,0.001,0.001,0,0,0.001,0.733,0.891,0.818,0,0.001,0.001,0.001,0,0,0.001,0.493,0.123,0,0,0.001,0.001,0.001,0.001,0,0,0.001,0,0.001,0,0.026,0,0.001,0.001,8.444,6.517
02:38.6,11055,-0.082,-0.023,-0.775,-0.626,-0.314,0.012,-0.724,-0.614,0.76,0.3,0.459,0.35,0.565,0.639,-0.296,-0.429,-0.22,-0.036,0.723,0.653,-0.466,0.593,0.425,0.501,0.001,0.001,0.001,0.007,0.001,0.001,0.051,0.013,0.001,0.001,0.001,0.148,0.001,0.031,0.14,0.243,0.276,0.001,0.001,0.001,0.022,0.001,0.011,0.178,0.458,0.198,0.379,0.001,0.001,0.001,0.001,0.111,0.372,0.683,0.109,0.001,0.038,0.819,0.946,1.056,0.12,0.913,0.346,0.661,0.001,-0.742,0.429,0.464,0.225,0.568,0.513,0.166,0,0,0,0.001,0,0.757,0.792,0.836,0,0,0,0,0,0,0.706,0.929,0.842,0,0,0,0,0,0.001,0,0.446,0.195,0,0.001,0.001,0.001,0.001,0,0,0,0.001,0,0.001,0,0.048,0.001,0.001,0,8.348,6.808
