timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
04:16.1,9355,0.603,0.716,0.309,0.169,-0.2,-0.348,0.585,0.704,-0.781,-0.568,-0.258,0.027,0.007,-0.167,0.67,0.723,0.549,0.798,-0.233,-0.085,-0.321,-0.642,0.356,-0.599,0.431,0.271,0.28,0.023,0.446,0.011,0.083,0.01,0.542,0.575,0.651,0.454,0.322,0.282,0.253,0.359,0.089,0.51,0.786,0.769,0.629,0.123,0.172,0.475,0.724,0.197,0.325,0.542,0.484,0.324,0.01,0.109,0.591,0.741,0.276,0.286,0.002,0.753,0.734,1.349,0.398,0.443,0.136,0.154,0.387,-0.533,-0.415,0.711,-0.196,0,0.234,0.001,0.001,0,0.001,0.001,0,0,0,0.087,0.001,0.001,0,0,0,0.001,0,0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.511,0.343
04:16.1,9356,0.603,0.716,0.309,0.167,-0.199,-0.349,0.585,0.705,-0.781,-0.568,-0.258,0.026,0.009,-0.164,0.671,0.723,0.547,0.799,-0.234,-0.085,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.481,-0.413,0.681,-0.365,1.184,1.04,0.14,0.001,0.001,0,0.001,0,0.337,0.681,0.553,0,0.001,0,0,0.001,0,0.001,0.407,0.028,0.001,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.388
04:16.1,9357,0.602,0.717,0.31,0.166,-0.198,-0.349,0.584,0.705,-0.781,-0.569,-0.257,0.025,0.009,-0.161,0.671,0.723,0.545,0.801,-0.235,-0.084,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.818
04:16.1,9358,0.601,0.717,0.311,0.164,-0.198,-0.35,0.583,0.706,-0.78,-0.57,-0.257,0.022,0.008,-0.163,0.669,0.725,0.542,0.802,-0.237,-0.082,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.818
04:16.1,9359,0.601,0.718,0.312,0.163,-0.197,-0.351,0.582,0.706,-0.779,-0.572,-0.256,0.02,0.008,-0.165,0.664,0.729,0.539,0.804,-0.239,-0.081,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.818
04:16.1,9360,0.6,0.718,0.314,0.162,-0.197,-0.352,0.581,0.706,-0.779,-0.572,-0.255,0.017,0.009,-0.165,0.66,0.733,0.535,0.806,-0.241,-0.078,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.818
04:16.1,9361,0.599,0.718,0.316,0.16,-0.196,-0.354,0.58,0.707,-0.78,-0.572,-0.254,0.014,0.008,-0.161,0.656,0.737,0.532,0.807,-0.243,-0.075,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.818
04:16.1,9362,0.598,0.719,0.318,0.158,-0.195,-0.356,0.579,0.707,-0.781,-0.571,-0.253,0.01,0.008,-0.154,0.656,0.738,0.529,0.81,-0.244,-0.07,-0.322,-0.641,0.359,-0.598,0.372,0.231,0.261,0.018,0.431,0.011,0.082,0.01,0.496,0.541,0.632,0.442,0.32,0.284,0.256,0.358,0.092,0.477,0.755,0.75,0.612,0.125,0.173,0.476,0.724,0.203,0.328,0.536,0.484,0.333,0.01,0.109,0.59,0.742,0.282,0.292,0.002,0.757,0.739,1.352,0.405,0.451,0.139,0.167,0.402,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.252,4.818
04:16.1,9363,0.597,0.719,0.32,0.155,-0.195,-0.357,0.577,0.708,-0.782,-0.57,-0.254,0.007,0.006,-0.148,0.659,0.737,0.526,0.812,-0.244,-0.065,-0.323,-0.641,0.373,-0.588,0.359,0.22,0.253,0.012,0.43,0.01,0.082,0.01,0.474,0.529,0.63,0.441,0.321,0.278,0.258,0.359,0.096,0.444,0.747,0.745,0.614,0.122,0.179,0.476,0.725,0.205,0.327,0.52,0.484,0.314,0.01,0.111,0.591,0.744,0.289,0.294,0.002,0.758,0.741,1.352,0.41,0.452,0.142,0.171,0.408,-0.488,-0.387,0.695,-0.358,1.184,1.012,0.288,0.001,0,0.001,0.001,0,0.309,0.698,0.706,0.001,0.001,0.001,0.001,0,0,0.001,0.492,0.114,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0,0,17.139,4.818
04:16.1,9364,0.597,0.719,0.322,0.153,-0.196,-0.359,0.576,0.708,-0.783,-0.567,-0.255,0.004,0.005,-0.142,0.663,0.735,0.523,0.814,-0.245,-0.058,-0.323,-0.641,0.374,-0.587,0.001,0.004,0.001,0.001,0.183,0.001,0.074,0.009,0.007,0.142,0.353,0.09,0.098,0.205,0.241,0.354,0.11,0.001,0.215,0.364,0.128,0.001,0.12,0.464,0.731,0.215,0.309,0.117,0.092,0.029,0.001,0.067,0.625,0.75,0.347,0.303,0.001,0.794,0.779,1.374,0.452,0.499,0.183,0.269,0.534,-0.447,-0.358,0.704,-0.42,1.17,1.02,0.322,0.001,0.001,0,0,0.001,0.303,0.691,0.741,0,0,0.001,0.001,0.001,0,0.001,0.512,0.156,0,0.001,0,0,0.001,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0.001,0,0.005,0,0.001,0,0.001,0,0.001,0,11.638,4.937
