timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
09:55.5,5307,0.596,0.763,-0.154,-0.197,0.53,0.63,-0.335,-0.458,-0.608,-0.181,-0.615,-0.469,0.749,0.529,0.319,0.241,0.21,0.298,0.612,0.702,0.171,-0.776,-0.138,-0.591,0.001,0.001,0.001,0.001,0.001,0.001,0.176,0.04,0,0.001,0.001,0.001,0.002,0.001,0.252,0.349,0.326,0.001,0.001,0.001,0.001,0.001,0.001,0.308,0.556,0.305,0.534,0.001,0.001,0.001,0.001,0.001,0.324,0.591,0.25,0.267,0.001,0.637,0.937,1.214,0.632,0.371,0.211,0.413,0.891,-0.705,-0.136,0.664,-0.208,0,0,0,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0,0.001,0.001,0,0,0,0.002,0.001,0,0,0.001,0.001,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0.001,0.059,0.001,0.013,0,0.001,0,9.608,0.09
09:55.5,5308,0.596,0.762,-0.154,-0.2,0.531,0.629,-0.333,-0.46,-0.607,-0.185,-0.613,-0.471,0.745,0.53,0.323,0.246,0.208,0.3,0.615,0.698,0.172,-0.774,-0.13,-0.595,0.001,0.001,0.001,0.001,0.001,0.001,0.142,0.037,0.001,0.001,0.001,0.001,0.006,0.001,0.197,0.328,0.342,0.001,0.001,0.001,0.001,0.001,0.001,0.237,0.54,0.308,0.543,0.001,0.001,0.001,0.001,0.001,0.305,0.585,0.248,0.269,0.001,0.628,0.961,1.206,0.625,0.419,0.225,0.419,0.891,-0.698,-0.13,0.666,-0.228,0.803,1.093,0.231,0.001,0.001,0,0,0,0.001,0.664,0.576,0.001,0,0.001,0,0.001,0,0,0.19,0,0,0.001,0,0.001,0,0.001,0.001,0.001,0.001,0,0,0,0.001,0,0.001,0,0,0,0.001,0,0.001,0,0.001,0,0.001,9.484,3.575
09:55.5,5309,0.597,0.761,-0.154,-0.202,0.533,0.628,-0.332,-0.46,-0.607,-0.188,-0.61,-0.472,0.743,0.528,0.327,0.25,0.206,0.303,0.619,0.695,0.174,-0.772,-0.123,-0.599,0.001,0.001,0.001,0.001,0.001,0.001,0.122,0.031,0.001,0.001,0.001,0.001,0.004,0.001,0.128,0.3,0.348,0.001,0.001,0.001,0.001,0.001,0.001,0.144,0.525,0.308,0.546,0.001,0.001,0.001,0.001,0.001,0.254,0.575,0.245,0.27,0.001,0.611,0.995,1.204,0.615,0.471,0.239,0.418,0.899,-0.701,-0.084,0.674,-0.218,0.664,1.118,0.381,0,0.001,0,0,0.001,0,0.684,0.679,0.001,0,0,0.001,0,0.001,0,0.241,0.001,0,0,0,0,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.001,0.001,0,0.001,0,9.275,3.784
09:55.5,5310,0.597,0.761,-0.153,-0.203,0.535,0.627,-0.331,-0.46,-0.607,-0.19,-0.609,-0.474,0.743,0.525,0.329,0.253,0.205,0.307,0.622,0.691,0.176,-0.769,-0.116,-0.603,0.001,0.001,0.001,0.001,0.001,0.001,0.098,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.089,0.265,0.364,0.001,0.001,0.001,0.001,0.001,0.001,0.054,0.496,0.31,0.547,0.001,0.001,0.001,0.001,0.001,0.198,0.569,0.245,0.265,0.001,0.578,1.04,1.197,0.612,0.516,0.258,0.414,0.906,-0.705,-0.06,0.671,-0.221,0.546,1.128,0.462,0,0,0.001,0.001,0,0,0.685,0.772,0,0,0,0,0.001,0,0,0.281,0.027,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0,0.001,0,9.066,3.915
09:55.5,5311,0.599,0.76,-0.152,-0.202,0.536,0.626,-0.329,-0.461,-0.607,-0.19,-0.609,-0.474,0.745,0.523,0.328,0.253,0.204,0.31,0.625,0.687,0.178,-0.765,-0.104,-0.61,0.001,0.001,0.001,0.001,0.001,0.001,0.105,0.012,0.001,0.001,0.001,0.001,0.001,0.002,0.057,0.233,0.38,0.001,0.001,0.001,0.001,0.001,0.001,0.033,0.448,0.305,0.545,0.001,0.001,0.001,0.001,0.001,0.155,0.56,0.231,0.255,0.001,0.54,1.093,1.2,0.609,0.549,0.277,0.407,0.918,-0.711,-0.047,0.662,-0.233,0.451,1.122,0.51,0,0.09,0,0.001,0,0.001,0.705,0.808,0.001,0,0.001,0,0.001,0,0,0.316,0.078,0,0,0,0.001,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0,0.001,0,0,0,0,0.001,0,8.937,4.096
09:55.5,5312,0.6,0.759,-0.151,-0.201,0.537,0.625,-0.327,-0.462,-0.607,-0.188,-0.609,-0.473,0.747,0.524,0.323,0.251,0.204,0.312,0.627,0.684,0.179,-0.761,-0.094,-0.616,0.001,0.001,0.001,0.001,0.001,0.001,0.048,0.011,0.001,0.001,0.001,0.001,0.001,0.013,0.032,0.194,0.388,0.001,0.001,0.001,0.001,0.001,0.001,0.015,0.381,0.293,0.536,0.001,0.001,0.001,0.001,0.001,0.116,0.548,0.223,0.245,0.001,0.496,1.155,1.204,0.604,0.614,0.295,0.402,0.927,-0.713,-0.045,0.654,-0.249,0.403,1.111,0.59,0.001,0.254,0,0,0,0,0.733,0.838,0.001,0,0,0.001,0.001,0,0,0.348,0.116,0,0,0,0,0.001,0,0,0.001,0.001,0.001,0,0.001,0,0,0.001,0.001,0,0.001,0,0,0.001,0,0.001,0,0,8.763,4.407
09:55.5,5313,0.602,0.758,-0.15,-0.2,0.537,0.625,-0.324,-0.465,-0.61,-0.185,-0.61,-0.471,0.749,0.527,0.316,0.249,0.203,0.314,0.63,0.681,0.177,-0.757,-0.076,-0.624,0.001,0.001,0.001,0.001,0.001,0.001,0.018,0.006,0.001,0.001,0.001,0.001,0.001,0.013,0.034,0.16,0.394,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.343,0.282,0.532,0.001,0.001,0.001,0.001,0.001,0.092,0.524,0.211,0.234,0.001,0.48,1.201,1.214,0.589,0.645,0.316,0.396,0.932,-0.712,-0.047,0.65,-0.26,0.376,1.096,0.614,0.001,0.325,0,0,0,0.001,0.751,0.842,0,0.001,0,0,0,0.001,0.001,0.366,0.182,0,0,0,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0,0,0,0,0,0,0.001,0.001,0.005,0.001,0,0.001,8.641,4.573
09:55.5,5314,0.605,0.757,-0.15,-0.199,0.537,0.623,-0.322,-0.469,-0.613,-0.182,-0.611,-0.466,0.751,0.532,0.306,0.245,0.203,0.315,0.631,0.679,0.173,-0.755,-0.057,-0.63,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,0.016,0.042,0.143,0.393,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.326,0.265,0.529,0.001,0.001,0.001,0.001,0.001,0.099,0.507,0.206,0.227,0.001,0.471,1.23,1.226,0.585,0.652,0.328,0.394,0.93,-0.712,-0.047,0.649,-0.264,0.287,1.088,0.669,0.001,0.426,0.001,0,0.001,0.001,0.768,0.83,0.001,0.001,0,0,0,0.001,0,0.375,0.231,0.001,0,0.001,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,8.61,4.698
09:55.5,5315,0.607,0.755,-0.148,-0.199,0.536,0.622,-0.32,-0.473,-0.616,-0.18,-0.611,-0.462,0.753,0.536,0.293,0.24,0.202,0.316,0.633,0.678,0.164,-0.755,-0.028,-0.634,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.016,0.027,0.132,0.377,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.3,0.245,0.502,0.001,0.001,0.001,0.001,0.007,0.096,0.498,0.193,0.216,0.001,0.496,1.238,1.258,0.587,0.668,0.335,0.38,0.929,-0.712,-0.047,0.647,-0.267,0.214,1.095,0.696,0.009,0.518,0.023,0.021,0.001,0.001,0.786,0.833,0.033,0,0,0,0.001,0,0,0.366,0.267,0,0,0,0.001,0,0.001,0.001,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0.001,0.001,0.001,0,0,0.009,0,0,0.001,8.534,4.885
09:55.6,5316,0.61,0.752,-0.147,-0.201,0.536,0.62,-0.319,-0.477,-0.619,-0.181,-0.61,-0.46,0.756,0.541,0.281,0.235,0.2,0.316,0.633,0.677,0.156,-0.755,-0.002,-0.637,0,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.022,0.123,0.365,0.001,0.001,0.001,0.001,0.001,0.001,0.009,0.288,0.227,0.476,0.001,0.001,0.001,0.001,0.001,0.131,0.505,0.182,0.2,0.001,0.53,1.293,1.288,0.59,0.712,0.348,0.359,0.935,-0.712,-0.047,0.647,-0.267,0.214,1.095,0.696,0.009,0.518,0.023,0.021,0.001,0.001,0.786,0.833,0.033,0,0,0,0.001,0,0,0.366,0.267,0,0,0,0.001,0,0.001,0.001,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0.001,0.001,0.001,0,0,0.009,0,0,0.001,8.616,4.885
